VideoID,Window_Idx,Window_Start,Vel_Mean,Vel_Std,Vel_Skew,Vel_Kurtosis,Potencia_Freq_Baja,Potencia_Freq_Alta,Ratio_Freq_Alta_Baja,Noise_Std,Noise_Kurtosis,Vel_Entropy,Num_Saccades,Mean_Saccade_Amp,Mean_Peak_Vel,Mean_Saccade_Dur,Mean_Saccade_Asymmetry,Latency_Mean,Small_Saccade_Avg_Vel,Large_Saccade_Avg_Vel,Small_Large_Vel_Ratio,MainSeq_Slope,MainSeq_Intercept,MainSeq_R2,MainSeq_Residual_Std,MainSeq_Efficiency,MainSeq_Consistency_Score,PeakVel_Per_Degree,Amp_Vel_Correlation,MainSeq_Deviation_Score,Saccade_Rate_Hz,ISI_Mean,ISI_Std,ISI_CV,Amp_Percentile_10,Amp_Percentile_90,Amp_Range,Amp_Std,PeakVel_Percentile_10,PeakVel_Percentile_90,PeakVel_Range,PeakVel_CV
Victor_9_puntos_intento_10,0,0.0,23.408011193651898,42.22703596144355,3.755307347635691,15.65931543417517,22443.076608203413,4761.382103054092,0.21215371608639225,16.714895578522523,0.07259195340802904,0.4949530002396245,6,3.817708408866661,65.8494922920326,0.05000016666666651,0.6464654269984476,0.27529999999999966,21.78151505829397,153.9854467595098,0.1414517768832514,18.812134930482344,-5.969753420804096,0.9519377428927175,18.816456665493074,0.7951822404563348,0.04803773747051117,36.370846072562124,0.975672969233399,0.2857494526502265,2.4,0.3449998000000001,0.32504689268559384,0.9421627216099029,0.25529042847777994,9.03377766214621,8.77848723366843,4.451454631887528,13.53672070247712,153.9854467595098,140.4487260570327,1.3034168348190398
Victor_9_puntos_intento_10,1,1.0,19.82842562482566,41.05742675605097,4.31509979524792,19.245055908867805,22741.716956111002,4648.493550280367,0.20440380816659717,11.008123618337585,1.5081763788852625,0.543704790598126,6,3.125648822698657,60.905297476651164,0.0402778333333332,0.588891600006401,0.27529999999999966,22.058601802311113,255.13877584835146,0.08645726910370626,19.330912963802174,0.48365212965268967,0.9931328142856483,7.232815707842554,5.606669273899226,0.12063100274910721,37.627160423354745,0.9965604920353045,0.1187551147231525,2.4,0.25666660000000013,0.1436043515282179,0.559495438957694,0.25529042847777994,7.707571021912955,7.452280593435175,4.499552294100467,13.53672070247712,147.08077586888317,133.54405516640605,1.4330552262091207
Victor_9_puntos_intento_10,2,2.0,21.71254200523608,39.01949103874225,4.231774763605219,18.543431143936857,21747.865541241787,4095.104406064407,0.18829914127022326,11.755050823750357,2.0498834966513932,0.6089774305350608,7,2.837490958949696,59.222221581738005,0.050000000000000266,0.7071431571376271,0.13956699999999955,28.557266462461982,243.21195229739413,0.11741720007059026,25.31723753145892,-12.615211019358604,0.9848172944360956,9.31523551291749,0.31271645800692166,0.09547210950276759,19.513118398157967,0.9923796120618841,0.15729290639270893,2.8,0.3133331999999999,0.11955951191335643,0.38157185495026225,0.9442886702052022,5.39859680455956,4.454308134354358,2.9633351436476048,18.59719418583113,120.69844645260662,102.10125226677549,1.2765403657408156
Victor_9_puntos_intento_10,3,3.0,20.88439723117634,39.63895637726689,4.087549418985064,17.57801062293818,21790.320042336174,3921.280781711549,0.17995517155842505,13.252933467074495,0.9773700894081894,0.6285489193020664,9,2.517215839665288,52.87146380214605,0.052777777777778034,0.8662264876072406,0.13956699999999955,29.078902740240046,243.21195229739413,0.1195619806738898,25.053558751683134,-10.193751127575638,0.9849267184791948,8.347890617636748,0.11001940359975065,0.1053635262506094,19.51659551280034,0.9924347426804416,0.15789028446395356,3.6,0.2726189999999999,0.11052873596490666,0.4054315015952854,0.8904171612306101,3.894791816246091,3.004374655015481,2.693428057163003,17.85428837830356,83.25799395402636,65.4037055757228,1.2860311909948405
Victor_9_puntos_intento_10,4,4.0,27.413926102825812,68.59360181589899,4.41246409520362,19.466712170493604,37390.339164195895,5034.754039897462,0.1346538745651168,13.278246755648663,0.06181650162380503,0.3979143673511589,8,3.754788444353766,75.83578956914319,0.05416675000000004,0.8120032610532313,0.24056700000000042,26.622334824114652,420.32997278434294,0.06333675100008553,20.633711569912915,-1.6394321976944184,0.9987577649658963,4.600643752703727,1.200587313040017,0.17832910091518375,19.7695981096276,0.9993786894695604,0.06066586394334606,3.2,0.25833328571428577,0.10550349802422178,0.4083991318941971,0.8189019353473754,7.558915798816811,6.740013863469436,6.32221771963354,17.480688900900443,156.38764489303188,138.90695599213143,1.7212442408069057
Victor_9_puntos_intento_10,5,5.0,34.12021995144801,67.04880859893822,4.42450652832491,19.687386353652972,40080.06121747261,4789.291764255871,0.11949312497677826,13.510067365799136,0.06587776153292113,0.41282898493307973,8,4.326406325733709,84.12405805765678,0.05625012500000026,0.8561489944757226,0.24056700000000042,36.09464166813019,420.32997278434294,0.08587215760282964,20.825911737742615,-5.97729822368477,0.9986895013157091,4.6175828597403665,1.0254707761251702,0.17777922039620195,17.42966021759813,0.9993445358412227,0.0548901576013537,3.2,0.2607141428571426,0.11630156135965598,0.44608671397112815,1.5105388843373178,8.613461095727434,7.1029222113901165,6.120792001430275,25.10989932709869,167.0752747837602,141.9653754566615,1.5162687456802106
Victor_9_puntos_intento_10,6,6.0,31.819095601045774,45.87259907759605,3.8756792613809457,17.27281283767775,21823.298775640586,22429.869433661774,1.027794636513452,14.207835583368945,0.6818455527975802,0.5478993070279512,8,3.0509454422107396,57.91388968302451,0.0593750000000004,0.8240067251036669,0.28323399999999843,35.17154957430616,217.1102704440529,0.16199855263581145,21.133460086092448,-6.563144044781836,0.9897386197800292,6.2267584507735645,1.0513595310280246,0.13695471164863493,17.24825615937337,0.9948560799331878,0.107517529513843,3.2,0.2226189999999995,0.13690980653283039,0.6149932914061211,1.42011301976643,5.624357302961169,4.204244283194739,2.8936685175781034,23.30603154427106,106.10936408167322,82.80333253740216,1.061393409880208
Victor_9_puntos_intento_10,7,7.0,25.536928794945087,35.52064556379267,3.7964773726684036,15.72443578841581,19444.644537846725,4964.615259813409,0.2553204431119862,13.83586272030663,1.0787963916156142,0.5377111639862631,7,3.4204292909671006,61.90799973795338,0.07738085714285756,0.8436503595484272,0.28323399999999843,36.04095462027012,217.1102704440529,0.1660029926108793,21.206853790420578,-10.628544136057847,0.9634335752843541,12.371795291433504,1.236894052606082,0.07204968026257233,16.53012506183683,0.981546522221109,0.19984162214834436,2.8,0.2430556666666662,0.16917674117094847,0.6960382674998236,1.4219771191596635,6.315383020596792,4.893405901437128,2.9945124442115367,22.896629542091794,121.96663641915612,99.07000687706432,1.0450683533145924
Victor_9_puntos_intento_10,8,8.0,22.474768450124643,39.44386700391151,4.1795504321915615,18.46946619073573,21681.02554573808,3791.588991672264,0.17488051861286194,12.051478082928675,0.21494683002440196,0.6118991086880801,8,3.320379030752946,59.4737425632258,0.08229149999999996,0.8701373979382148,0.3410669999999989,32.681578421800545,247.01889155320256,0.1323039635402203,20.472732050263243,-8.503487638692036,0.9770504489379951,10.775352149846448,1.0407788588639257,0.08297420208793807,16.353837503396278,0.9884586227748711,0.18117830666555076,3.2,0.28333349999999974,0.156050760379168,0.5507651217171512,1.6841236681969178,5.878725030453882,4.1946013622569644,3.434211728230186,28.03258251146627,106.30700427985221,78.27442176838593,1.195966732120195
Victor_9_puntos_intento_10,9,9.0,21.662237077382485,39.443645558858215,4.238327269389082,18.817102863833853,21676.010521955195,3720.8883581574983,0.17165927993147198,11.477285301521443,0.38953796354979175,0.6466750258877423,7,3.3687574164503524,62.25890097676848,0.07142842857142842,0.9206333333333389,0.3410669999999989,31.46556921402947,247.01889155320256,0.1273812258494912,20.61360075059712,-7.183319431552114,0.9999414210891002,0.5782935144023538,1.0013008898979172,0.6335585947508275,16.45130332689704,0.9999707101156016,0.009288527359800538,2.8,0.23833340000000014,0.10389651047576084,0.4359274635795789,1.667602930503051,6.330542463364569,4.662939532861518,3.665313228626258,27.586298000959736,122.9039454579345,95.31764745697475,1.2136018174542171
