VideoID,Vel_Global_Mean,Vel_Global_Std,Vel_Skewness,Vel_Kurtosis,Num_Saccades,Mean_Saccade_Amp,Std_Saccade_Amp,Mean_Saccade_Dur,Mean_Peak_Vel,Mean_Peak_Acc,Mean_Saccade_Jerk,Mean_Saccade_Asymmetry,Latency_Mean,MainSeq_Slope,MainSeq_Intercept,MainSeq_R2,LinearSeq_Slope,LinearSeq_Intercept,LinearSeq_R2,Num_Fixations,Mean_Fixation_Dur,Std_Fixation_Dur,Mean_Fixation_Dispersion,Estabilidad_Std_Deg,Drift_Total_Deg,RMSE_Error,Ganancia_Velocidad,Potencia_Freq_Baja,Potencia_Freq_Alta,Ratio_Freq_Alta_Baja,Vel_Entropy
Victor_9_puntos_intento_10,24.007468095690204,50.06840196470155,4.4809880534370645,22.83739430499273,40,4.113134810620094,5.191719207688768,0.05645834999999998,80.1059258683763,1070.4868065051674,18423.5873034447,0.8146480611711183,0.36277962499999905,20.369861303923237,-3.6780597482935917,0.9872455530788932,-0.0005659880157785621,0.058786335010092575,0.014476070497116874,9,1.8972221111111114,0.16583109713760308,0.2113016993205118,0,0,0,0,479626.39769420295,352163.07145790156,0.7342445560757003,0.6090542285214249
Victor_9_puntos_intento_1,24.755654913478384,48.055253362689214,4.485941573793071,23.118612054303178,45,4.172207479904167,5.1068204800501755,0.05999991111111103,76.86221971539405,1036.1036302908428,18262.557998104392,0.8900527643698598,0.44402949999999913,18.984764204579317,-2.3461555031686743,0.9777191482878681,-0.0004887901442872593,0.062039245007209774,0.008136587010872375,9,1.901851888888889,0.14202014044973033,0.303981043092565,0,0,0,0,442802.257858269,375447.97516907507,0.8478908327707751,0.670794967606501
Victor_9_puntos_intento_2,25.74673737116623,49.61527982505586,4.601418087203729,24.488498954480608,37,4.865796982121504,5.457593761964573,0.05810810810810845,90.66716447455873,1204.5913780665412,20809.617743190356,0.9162649826816502,0.5355462499999999,19.390515239768398,-3.683146060887367,0.9872582038560267,-0.0005819685782457062,0.060939849059825954,0.019157796472631702,9,1.8999999999999995,0.0725285863194649,0.2756591485052115,0,0,0,0,443821.4748980769,354758.27861233416,0.7993265280662786,0.6464439038155452
Victor_9_puntos_intento_3,25.05760527704854,51.812511515906856,4.461534808318698,23.349082655909875,45,4.2726427131116065,4.97718155046631,0.06111108888888886,81.44534009137013,1067.4308951427024,18800.401085776823,0.8301607656268714,0.3621003750000003,20.493656729995497,-6.1167330010557635,0.9744313923311656,-0.0006516397485557828,0.0638953127121296,0.01061301385804496,10,1.6791667999999995,0.533177948429519,0.24481170416748527,0,0,0,0,476136.95385643514,378636.7550031852,0.7952265665070738,0.6495375032308806
Victor_9_puntos_intento_4,24.75210911744943,51.07584110938635,4.577320271864213,23.89823919545787,50,3.936790745893936,4.953307992657369,0.06116659999999984,73.5978792695376,966.561946530805,15907.544892176218,0.8268982992543915,0.42694625000000014,20.006026329805916,-5.161660047752761,0.9754463641019567,-0.00018938679321978079,0.061912176174942005,0.0009963393207638859,9,1.897222111111111,0.08436873022104255,0.3277788706608795,0,0,0,0,441579.9881850165,349459.43734183116,0.7913842263943823,0.6289630818063632
Victor_9_puntos_intento_5,24.131442409848557,54.008295530592335,4.569539052202974,23.84530356406427,43,4.263607811486387,5.707782139075759,0.04883709302325539,81.83740755910134,1102.9350546919175,19703.05510227017,0.8312838966887628,0.44046287500000014,19.33782685663374,-0.611502084013523,0.9950948520910584,-8.174167891067279e-05,0.04918560748398294,0.0010037490816398429,9,1.8962964444444443,0.23647852344880613,0.3562227799030994,0,0,0,0,515989.753067611,385683.4218943681,0.7474633354648883,0.6059450499782437
Victor_9_puntos_intento_6,24.625045299029715,51.45793723840451,4.432626470057204,22.608578810205195,45,4.1928151451988285,5.274499500558326,0.05648144444444451,79.73816598925316,1091.785292196835,18772.645751126805,0.8118916178501534,0.46222512499999996,19.393018997185234,-1.5731777732736845,0.9805348670198865,-0.0004735031779833184,0.05846675574039274,0.012436670237351653,9,1.8953703333333338,0.059818964281823164,0.3062438453437118,0,0,0,0,427066.8787880188,333911.11667257076,0.781870787122152,0.6178266453575523
Victor_9_puntos_intento_7,24.13272452984871,50.10705520816012,4.637639138222725,25.009912643753495,44,4.132533006483933,5.150105581540558,0.05643940909090877,78.37988075570428,1061.6277797533085,18211.93712823117,0.8035269710683167,0.31986699999999996,19.977159289454352,-4.176389383752948,0.9804008883951885,-9.136115734644603e-05,0.05681696208915353,0.0003089387834052462,9,1.899999888888889,0.16425339291278318,0.25822695070764956,0,0,0,0,464006.2627398826,383151.3075705997,0.8257459830548988,0.6423104211348067
Victor_9_puntos_intento_8,25.099580129265284,53.44103218340524,4.679362864171202,25.489830404105188,53,4.027425074874407,5.3107165574024,0.057861584905660485,74.02467749583492,979.551280383618,16860.00180312823,0.8439979592694242,0.42803799999999964,18.751839255976684,-1.4969501236998184,0.967491222858867,-0.00011140747135629866,0.05831027014932919,0.0005192283397886931,9,1.8898146666666662,0.0769171973423363,0.22864091628962788,0,0,0,0,463381.88502948,383361.6105985551,0.8273124672824417,0.6074784384193035
Victor_9_puntos_intento_9,23.69920329023915,45.4792554384007,4.316656414760309,22.985193369375473,48,4.01980099350093,4.296849151582148,0.05694439583333331,75.76555477779506,1003.198476273384,17435.320077182627,0.8763810067249883,0.3238087500000003,19.782882212447127,-3.757694794111771,0.9732986731099348,-0.0008271517119309802,0.060269381106729455,0.025545952665290323,9,1.852777888888889,0.14191122273841067,0.3783619054703624,0,0,0,0,406381.59786577907,347374.1403435925,0.8547979095684088,0.7221974953329147
