video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area,iris_horiz_diameter_px,px_per_mm,pupil_horiz_diameter_mm
Victor_intento_4.mp4,36,1200.000,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,38.909,69.510,137.064,2080.5,147.484,12.605450,3.087
Victor_intento_4.mp4,37,1233.333,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,38.895,69.491,137.156,2085.0,145.631,12.447085,3.125
Victor_intento_4.mp4,38,1266.667,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,39.011,69.720,137.670,2098.5,146.304,12.504618,3.120
Victor_intento_4.mp4,39,1300.000,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,39.176,70.039,137.087,2107.5,147.958,12.645991,3.098
Victor_intento_4.mp4,40,1333.333,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,38.942,70.149,137.075,2102.5,151.016,12.907343,3.017
Victor_intento_4.mp4,41,1366.667,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,39.030,70.315,137.013,2105.0,153.363,13.107913,2.978
Victor_intento_4.mp4,42,1400.000,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,39.040,70.020,137.259,2109.0,153.567,13.125408,2.974
Victor_intento_4.mp4,43,1433.333,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,38.894,69.994,137.074,2103.5,147.931,12.643663,3.076
Victor_intento_4.mp4,44,1466.667,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,38.864,69.447,137.147,2091.0,150.045,12.824369,3.030
Victor_intento_4.mp4,45,1500.000,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,38.969,69.637,137.338,2093.0,144.812,12.377083,3.148
Victor_intento_4.mp4,46,1533.333,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,38.847,69.470,137.077,2085.0,146.004,12.479004,3.113
Victor_intento_4.mp4,47,1566.667,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,38.522,69.270,137.353,2062.0,145.771,12.459037,3.092
Victor_intento_4.mp4,48,1600.000,True,220.000,240.000,0.000,354.000,183.000,0.558333,0.237500,-0.794895,38.468,68.876,136.852,2045.0,148.542,12.695871,3.030
Victor_intento_4.mp4,49,1633.333,True,220.000,240.000,0.000,353.000,183.000,0.554167,0.237500,-0.797805,38.838,68.042,137.195,2034.0,143.841,12.294086,3.159
Victor_intento_4.mp4,50,1666.667,True,220.000,240.000,0.000,352.000,182.000,0.550000,0.241667,-0.799436,38.823,68.305,136.574,2049.0,145.953,12.474631,3.112
Victor_intento_4.mp4,51,1700.000,True,220.000,240.000,0.000,351.000,182.000,0.545833,0.241667,-0.802286,38.536,67.690,137.019,2018.5,144.370,12.339339,3.123
Victor_intento_4.mp4,52,1733.333,True,220.000,240.000,0.000,351.000,182.000,0.545833,0.241667,-0.802286,38.485,67.975,136.587,2012.0,143.295,12.247453,3.142
Victor_intento_4.mp4,53,1766.667,True,220.000,240.000,0.000,351.000,182.000,0.545833,0.241667,-0.802286,38.649,67.897,135.918,2005.0,146.508,12.522026,3.086
Victor_intento_4.mp4,54,1800.000,True,220.000,240.000,0.000,351.000,182.000,0.545833,0.241667,-0.802286,38.413,67.675,136.640,1999.0,147.249,12.585407,3.052
Victor_intento_4.mp4,55,1833.333,True,220.000,240.000,0.000,352.000,182.000,0.550000,0.241667,-0.799436,38.423,67.326,136.616,1989.5,147.062,12.569390,3.057
Victor_intento_4.mp4,56,1866.667,True,220.000,240.000,0.000,352.000,182.000,0.550000,0.241667,-0.799436,38.112,67.494,136.269,1987.0,147.120,12.574369,3.031
Victor_intento_4.mp4,57,1900.000,True,220.000,240.000,0.000,351.000,182.000,0.545833,0.241667,-0.802286,38.245,67.838,136.211,1991.5,146.630,12.532486,3.052
Victor_intento_4.mp4,58,1933.333,True,220.000,240.000,0.000,351.000,182.000,0.545833,0.241667,-0.802286,38.255,67.668,136.172,1995.0,146.236,12.498813,3.061
Victor_intento_4.mp4,59,1966.667,True,220.000,240.000,0.000,351.000,182.000,0.545833,0.241667,-0.802286,38.543,67.391,136.748,2012.5,145.950,12.474348,3.090
Victor_intento_4.mp4,60,2000.000,True,220.000,240.000,0.000,351.000,182.000,0.545833,0.241667,-0.802286,38.729,67.993,136.804,2041.0,152.228,13.010918,2.977
