participante,video,ms_vmax,std_saccade_amplitude,std_saccade_peak_velocity,ms_c,mean_fixation_duration,mean_saccade_duration,mean_saccade_q_ratio
Andrews,Andrews_9_puntos_intento_10,294.83507273258834,3.1406714247832164,49.070551467038065,6.658731573653687,0.02119851804123704,0.026799421593830402,1.1691163978539427
Andrews,Andrews_9_puntos_intento_1,472.83109335432647,3.624563832440966,70.48192631348442,13.14740443756118,0.016995340845070397,0.0352816563380282,1.3247285760361804
Andrews,Andrews_9_puntos_intento_2,342.44914878225023,2.903119874610672,63.99536451012349,6.661385582347311,0.019195036407767003,0.026051728155339793,1.193381664533015
Andrews,Andrews_9_puntos_intento_3,407.4785806378475,4.908607672130281,95.14667825666184,8.898214418427,0.014645790190735641,0.03566574728260874,1.365926389905682
Andrews,Andrews_9_puntos_intento_4,508.3708640951484,5.514180284695977,114.15737693871694,10.534949399830987,0.018000882022471826,0.034105859550561876,1.3384725362514618
Andrews,Andrews_9_puntos_intento_5,542.665206853871,5.790596684346004,101.3016782761768,14.048957515995781,0.019259283333333363,0.0324330332409972,1.2657401837095075
Andrews,Andrews_9_puntos_intento_6,462.05693571048,5.731018117411781,95.42831671653893,11.484870180167087,0.017724096676737185,0.03859513897280963,1.3545960300840667
Andrews,Andrews_9_puntos_intento_7,422.38253580523707,3.093950638982304,60.21982680627172,10.668953669566312,0.020442687500000053,0.028125020833333274,1.2210505088928203
Andrews,Andrews_9_puntos_intento_8,342.469114743165,3.04033247925179,55.58465727759997,8.050854136007052,0.01814862628865977,0.029896907216494868,1.2332487094964553
Andrews,Andrews_9_puntos_intento_9,360.7803699385883,3.2642984033186755,56.2946105891644,8.432764080593174,0.020403806701030928,0.02764172680412371,1.1865855343013976
Arteaga,Arteaga_9_puntos_intento_10,789.2832349159021,3.594168014151698,82.96450562931342,20.180664656295583,0.018933808823529366,0.02675655147058828,1.1819737384889177
Arteaga,Arteaga_9_puntos_intento_1,776.0175234978126,3.3178822382077993,72.17915560463288,20.804096625733642,0.023076953846153832,0.024785745501285355,1.1275428517273556
Arteaga,Arteaga_9_puntos_intento_2,695.3399265819027,3.2789585879099468,72.64765531265824,17.330311884393026,0.024585531413612575,0.024192829842931935,1.1174516220941855
Arteaga,Arteaga_9_puntos_intento_3,761.0108901551931,3.5964150495248193,78.80470251175882,20.876278819095514,0.02307348118279576,0.026966037533512007,1.1779556308919243
Arteaga,Arteaga_9_puntos_intento_4,692.0184432919086,3.383790297433215,69.89718214189851,17.225721150022043,0.02315040975609765,0.022317070731707224,1.0995187802762219
Arteaga,Arteaga_9_puntos_intento_5,651.4213236161461,3.297223356359671,69.16163121307699,16.216642812141057,0.02430918134715025,0.023901782945736454,1.125957196116093
Arteaga,Arteaga_9_puntos_intento_6,701.1567114395974,3.5280391902112864,71.32657029240805,17.454994707871943,0.02691258743169396,0.02406390958904113,1.1231188879263392
Arteaga,Arteaga_9_puntos_intento_7,591.4958609460838,4.078385531527914,85.03890711412998,14.481001503360908,0.018045401459854105,0.027378065853658446,1.1745627831902452
Arteaga,Arteaga_9_puntos_intento_8,570.0470995641351,3.6791453309433417,74.69994531758037,13.74296289704039,0.021064813131313077,0.025944586901763277,1.1503098961900802
Arteaga,Arteaga_9_puntos_intento_9,716.8648020583305,3.8860436684186603,77.13957446054873,19.418324711294975,0.024500449591280643,0.026222831521739143,1.1562889229250004
Josuep,Josuep_9_puntos_intento_10,368.8766850501772,2.079723808766219,46.37189175406824,7.664234088906048,0.021114988344988327,0.022286830232558157,1.1219016739829
Josuep,Josuep_9_puntos_intento_1,478.6441661349157,2.7560714756275235,57.244256134359496,10.669472159245288,0.03130254341736695,0.020915011204481786,1.1027081702244517
Josuep,Josuep_9_puntos_intento_2,420.2948554115265,2.8273188142881893,57.928834145890455,9.4659346521852,0.030093901408450602,0.022481163841808007,1.1222686454692745
Josuep,Josuep_9_puntos_intento_3,453.41322915369966,2.7099910300911465,55.38922344350594,9.738251413358276,0.03340626239067052,0.020966915451895062,1.101213043432633
Josuep,Josuep_9_puntos_intento_4,496.4324549458701,2.6387619129299287,54.81449322718142,10.994252150218617,0.031094163434903028,0.020544803324099744,1.0800513685275546
Josuep,Josuep_9_puntos_intento_5,516.6776096075638,2.7101943237453057,55.64742526281828,11.972876933721453,0.032898588405796944,0.021135228985507404,1.096773097779327
Josuep,Josuep_9_puntos_intento_6,411.78467274332286,2.833013563638176,68.94278639725657,8.25870490169596,0.0290960254237288,0.02358759039548024,1.1271443714297844
Josuep,Josuep_9_puntos_intento_7,395.5818589279934,2.6423353845813717,54.40185515256235,8.666106928991594,0.021228771289537658,0.02408974514563112,1.1683909610002448
