,offset_aplicado_ms,duracion_analizada_seg,conteo_fijaciones,conteo_sacadicos,conteo_parpadeos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,duracion_media_parpadeo_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,velocidad_promedio_general_deg_s,aceleracion_promedio_general_deg_s2,velocidad_promedio_entre_estimulos_deg_s,aceleracion_promedio_entre_estimulos_deg_s2,total_archivos_procesados
Arteaga_intento_8_data,500.0,17.466667,17.0,26.0,0.0,0.9732824241739995,1.4885495899131758,705.882411764706,83.33342307692305,0.0,6.868794897868678,5.113713638426852,93.02230342716031,20.841102152625734,0.1523742022916872,5.165817462441111,-8.901186214484046,
Arteaga_intento_3_data,500.0,17.466667,11.0,11.0,0.0,0.629770980347882,0.629770980347882,1421.2121818181815,81.81827272727263,0.0,8.26463651562892,4.079866883469396,104.47198432707013,11.996051505568321,-0.15279574051553016,19.250307900235264,-112.04308608320571,
Arteaga_intento_5_data,500.0,17.466667,13.0,20.0,0.0,0.7442747949565879,1.1450381460870582,1035.897384615385,78.33325000000009,0.0,9.877929804655547,5.576965667679021,86.20167763310486,16.49137326679963,0.22956927833201485,9.951368075114885,19.565418513280463,
Arteaga_intento_9_data,500.0,17.466667,11.0,26.0,0.0,0.629770980347882,1.4885495899131758,1045.4544545454546,84.61534615384629,0.0,6.304739083307417,3.8653839613103815,80.43062674440931,19.215706507265914,0.09601851160033784,33.69257121285526,-287.07203116892674,
Arteaga_intento_7_data,500.0,17.466667,14.0,39.0,0.0,0.8015267022609407,2.2328243848697635,566.6667857142855,81.19661538461541,0.0,5.635082547904361,7.960190701539743,83.06284022083517,28.28138103836493,-0.896699690167839,25.47832413718988,433.5270276378436,
Arteaga_intento_10_data,500.0,17.466667,12.0,28.0,1.0,0.687022887652235,1.6030534045218814,836.1110833333336,86.90475000000004,66.66700000000128,5.828832864778596,4.851947889662747,73.47541581604123,19.325050897471762,-1.3947147491192537,24.816243320663503,206.97380401525078,
Arteaga_intento_4_data,500.0,17.466667,11.0,11.0,0.0,0.629770980347882,0.629770980347882,1415.1514545454547,84.84827272727283,0.0,7.9684070674886245,3.6785289897298843,105.88340133796895,11.986452623722055,-0.06680958402358837,20.83246230583733,-210.84505491656913,
Arteaga_intento_1_data,500.0,17.5,9.0,12.0,0.0,0.5142857142857142,0.6857142857142857,1688.8886666666672,77.77775000000024,0.0,12.798373955554796,4.681932309600122,83.42783301012192,11.125028205997278,-0.22085180308827063,27.246031368044754,-139.79260122457998,
Arteaga_intento_2_data,500.0,17.466667,12.0,19.0,0.0,0.687022887652235,1.0877862387827053,1130.5555000000002,82.45621052631586,0.0,10.641515053496358,4.613575688072987,81.79377068957746,14.97578912472271,0.40145356301778823,2.5471033850448044,-235.7680057265561,
Arteaga_intento_6_data,500.0,17.466667,10.0,14.0,0.0,0.5725190730435291,0.8015267022609407,1449.9999000000003,92.85707142857134,0.0,9.794776667174958,3.9689127298197855,102.98777774290768,14.658484169458847,-1.87385001521213,4.362908223179283,-361.1535894105455,
PROMEDIO_GENERAL,500.0,17.470000300000002,12.0,20.6,0.1,0.6869247425068887,1.1792584302758748,1129.581982300347,83.41409620248179,6.666700000000128,8.398308845785825,4.839101845931092,89.4757630949197,16.88964194919972,-0.37263060268847836,17.334313739060608,-69.55093045784925,10.0
