Video,Frame,Timestamp_s,Face_Detected,ROI_Valid,Iris_Center_X_Original,Iris_Center_Y_Original,Iris_Left_X_Original,Iris_Left_Y_Original,Iris_Right_X_Original,Iris_Right_Y_Original,Iris_Center_X_ROI,Iris_Center_Y_ROI,Iris_Left_X_ROI,Iris_Left_Y_ROI,Iris_Right_X_ROI,Iris_Right_Y_ROI,Iris_Diameter_px_ROI,Video_FPS
Data_Victor_1.avi,57,1.9,True,True,613,240,622,241,604,240,205,120,257,126,154,120,103,30.0
Data_Victor_1.avi,58,1.9333,True,True,613,240,622,241,604,239,202,122,253,128,152,117,101,30.0
Data_Victor_1.avi,59,1.9667,True,True,613,240,622,241,605,240,208,126,259,132,163,126,96,30.0
Data_Victor_1.avi,60,2.0,True,True,613,240,622,241,605,240,202,122,253,128,157,122,96,30.0
Data_Victor_1.avi,61,2.0333,True,True,613,240,622,241,605,240,202,126,253,132,157,126,96,30.0
Data_Victor_1.avi,62,2.0667,True,True,614,240,623,241,605,239,208,126,259,132,157,120,102,30.0
Data_Victor_1.avi,63,2.1,True,True,614,240,623,241,605,240,205,126,257,132,154,126,103,30.0
Data_Victor_1.avi,64,2.1333,True,True,614,241,623,242,605,240,205,128,257,134,154,122,103,30.0
Data_Victor_1.avi,65,2.1667,True,True,614,241,623,242,605,240,205,128,257,134,154,122,103,30.0
Data_Victor_1.avi,66,2.2,True,True,614,241,623,242,606,240,205,126,257,132,160,120,97,30.0
Data_Victor_1.avi,67,2.2333,True,True,614,241,623,242,606,240,205,126,257,132,160,120,97,30.0
Data_Victor_1.avi,68,2.2667,True,True,615,241,624,242,606,240,208,126,259,132,157,120,102,30.0
Data_Victor_1.avi,69,2.3,True,True,615,241,624,242,606,240,211,126,262,132,160,120,102,30.0
Data_Victor_1.avi,70,2.3333,True,True,615,241,624,242,606,240,205,126,257,132,154,120,103,30.0
Data_Victor_1.avi,71,2.3667,True,True,615,241,624,242,606,240,205,129,257,135,154,123,103,30.0
Data_Victor_1.avi,72,2.4,True,True,615,241,624,242,606,240,205,126,257,132,154,120,103,30.0
Data_Victor_1.avi,73,2.4333,True,True,615,241,624,242,607,240,205,128,257,134,160,122,97,30.0
Data_Victor_1.avi,74,2.4667,True,True,615,241,624,242,606,240,205,126,257,132,154,120,103,30.0
Data_Victor_1.avi,75,2.5,True,True,615,241,624,242,607,240,205,128,257,134,160,122,97,30.0
Data_Victor_1.avi,76,2.5333,True,True,616,241,625,242,607,240,211,128,262,134,160,122,102,30.0
Data_Victor_1.avi,77,2.5667,True,True,615,241,624,242,607,240,200,126,251,132,154,120,97,30.0
Data_Victor_1.avi,78,2.6,True,True,616,241,625,242,607,240,211,126,262,132,160,120,102,30.0
Data_Victor_1.avi,79,2.6333,True,True,616,241,625,242,607,240,205,126,257,132,154,120,103,30.0
Data_Victor_1.avi,80,2.6667,True,True,616,241,625,242,607,240,205,126,257,132,154,120,103,30.0
Data_Victor_1.avi,81,2.7,True,True,616,241,625,242,607,240,208,126,260,132,156,120,104,30.0
Data_Victor_1.avi,82,2.7333,True,True,616,241,625,242,607,240,211,126,262,132,160,120,102,30.0
Data_Victor_1.avi,83,2.7667,True,True,616,241,625,242,607,241,211,126,262,132,160,126,102,30.0
Data_Victor_1.avi,84,2.8,True,True,616,241,625,242,607,240,208,126,259,132,157,120,102,30.0
Data_Victor_1.avi,85,2.8333,True,True,616,241,625,242,607,240,208,126,259,132,157,120,102,30.0
Data_Victor_1.avi,86,2.8667,True,True,616,241,625,242,607,240,205,126,257,132,154,120,103,30.0
Data_Victor_1.avi,87,2.9,True,True,616,241,625,242,607,240,205,126,257,132,154,120,103,30.0
Data_Victor_1.avi,88,2.9333,True,True,616,241,625,242,607,240,205,126,257,132,154,120,103,30.0
Data_Victor_1.avi,89,2.9667,True,True,616,241,625,242,607,240,208,126,259,132,157,120,102,30.0
Data_Victor_1.avi,90,3.0,True,True,616,241,625,242,607,240,208,126,259,132,157,120,102,30.0
Data_Victor_1.avi,91,3.0333,True,True,616,241,625,242,607,240,208,126,259,132,157,120,102,30.0
Data_Victor_1.avi,92,3.0667,True,True,616,241,625,242,607,240,211,126,262,132,160,120,102,30.0
Data_Victor_1.avi,93,3.1,True,True,615,241,624,242,607,240,205,126,257,132,160,120,97,30.0
Data_Victor_1.avi,94,3.1333,True,True,615,241,624,242,607,240,205,126,257,132,160,120,97,30.0
Data_Victor_1.avi,95,3.1667,True,True,615,241,624,242,607,241,205,126,257,132,160,126,97,30.0
Data_Victor_1.avi,96,3.2,True,True,615,241,624,242,607,241,205,126,257,132,160,126,97,30.0
Data_Victor_1.avi,97,3.2333,True,True,616,241,625,242,607,240,208,126,259,132,157,120,102,30.0
Data_Victor_1.avi,98,3.2667,True,True,616,241,625,242,607,240,208,126,259,132,157,120,102,30.0
Data_Victor_1.avi,99,3.3,True,True,616,241,625,242,607,241,208,126,259,132,157,126,102,30.0
Data_Victor_1.avi,100,3.3333,True,True,616,241,625,242,607,240,211,126,262,132,160,120,102,30.0
Data_Victor_1.avi,101,3.3667,True,True,616,241,625,242,607,240,211,126,262,132,160,120,102,30.0
Data_Victor_1.avi,102,3.4,True,True,616,241,625,242,607,241,211,126,262,132,160,126,102,30.0
Data_Victor_1.avi,103,3.4333,True,True,616,241,625,242,607,241,208,126,260,132,156,126,104,30.0
Data_Victor_1.avi,104,3.4667,True,True,616,241,625,242,607,241,211,126,262,132,160,126,102,30.0
Data_Victor_1.avi,105,3.5,True,True,616,242,625,243,607,241,211,128,262,134,160,122,102,30.0
Data_Victor_1.avi,106,3.5333,True,True,616,241,625,242,607,241,208,126,259,132,157,126,102,30.0
Data_Victor_1.avi,107,3.5667,True,True,616,241,625,242,607,241,211,126,262,132,160,126,102,30.0
Data_Victor_1.avi,108,3.6,True,True,616,241,625,242,607,241,211,126,262,132,160,126,102,30.0
Data_Victor_1.avi,109,3.6333,True,True,616,241,625,242,607,241,211,126,262,132,160,126,102,30.0
Data_Victor_1.avi,110,3.6667,True,True,616,241,625,242,607,241,211,126,262,132,160,126,102,30.0
Data_Victor_1.avi,111,3.7,True,True,616,241,625,242,607,241,214,126,264,132,163,126,101,30.0
Data_Victor_1.avi,112,3.7333,True,True,615,242,624,243,606,241,205,132,257,138,154,126,103,30.0
Data_Victor_1.avi,113,3.7667,True,True,615,241,624,242,606,241,208,126,259,132,157,126,102,30.0
Data_Victor_1.avi,114,3.8,True,True,615,241,624,242,606,241,205,122,257,128,154,122,103,30.0
Data_Victor_1.avi,115,3.8333,True,True,615,242,624,243,606,241,208,132,259,138,157,126,102,30.0
Data_Victor_1.avi,116,3.8667,True,True,615,241,624,242,606,241,208,126,259,132,157,126,102,30.0
Data_Victor_1.avi,117,3.9,True,True,615,241,624,242,607,241,205,126,257,132,160,126,97,30.0
Data_Victor_1.avi,118,3.9333,True,True,615,241,624,242,607,241,205,126,257,132,160,126,97,30.0
Data_Victor_1.avi,119,3.9667,True,True,615,241,624,242,607,241,205,126,257,132,160,126,97,30.0
Data_Victor_1.avi,120,4.0,True,True,616,242,625,243,607,241,211,132,262,138,160,126,102,30.0
Data_Victor_1.avi,121,4.0333,True,True,616,242,625,243,607,241,211,132,262,138,160,126,102,30.0
Data_Victor_1.avi,122,4.0667,True,True,616,241,625,242,607,241,211,126,262,132,160,126,102,30.0
Data_Victor_1.avi,123,4.1,True,True,615,242,624,243,607,241,205,128,257,134,160,122,97,30.0
Data_Victor_1.avi,124,4.1333,True,True,616,242,625,243,607,241,211,132,262,138,160,126,102,30.0
Data_Victor_1.avi,125,4.1667,True,True,616,242,625,243,607,241,205,128,257,134,154,122,103,30.0
Data_Victor_1.avi,126,4.2,True,True,616,242,625,243,607,241,211,128,262,134,160,122,102,30.0
Data_Victor_1.avi,127,4.2333,True,True,616,242,625,243,607,241,208,128,259,134,157,122,102,30.0
Data_Victor_1.avi,128,4.2667,True,True,616,242,625,243,607,241,208,128,259,134,157,122,102,30.0
Data_Victor_1.avi,129,4.3,True,True,616,242,625,243,607,241,208,128,259,134,157,122,102,30.0
Data_Victor_1.avi,130,4.3333,True,True,617,242,626,243,608,241,214,132,264,138,163,126,101,30.0
Data_Victor_1.avi,131,4.3667,True,True,619,242,628,243,610,241,225,132,276,138,174,126,102,30.0
Data_Victor_1.avi,132,4.4,True,True,619,241,628,242,610,241,225,126,276,132,174,126,102,30.0
Data_Victor_1.avi,133,4.4333,True,True,619,242,628,243,610,241,222,134,274,140,171,128,103,30.0
Data_Victor_1.avi,134,4.4667,True,True,619,242,628,243,610,241,222,134,274,140,171,128,103,30.0
Data_Victor_1.avi,135,4.5,True,True,619,242,628,243,611,241,222,134,274,140,177,128,97,30.0
Data_Victor_1.avi,136,4.5333,True,True,619,242,628,243,611,241,222,134,274,140,177,128,97,30.0
Data_Victor_1.avi,137,4.5667,True,True,619,242,628,243,611,241,219,132,270,138,174,126,96,30.0
Data_Victor_1.avi,138,4.6,True,True,620,242,629,243,611,241,222,132,274,138,171,126,103,30.0
Data_Victor_1.avi,139,4.6333,True,True,620,242,629,243,611,241,222,132,274,138,171,126,103,30.0
Data_Victor_1.avi,140,4.6667,True,True,620,242,629,243,611,241,219,132,270,138,169,126,101,30.0
Data_Victor_1.avi,141,4.7,True,True,620,242,629,243,612,241,217,132,268,138,171,126,97,30.0
Data_Victor_1.avi,142,4.7333,True,True,621,242,630,243,612,241,222,128,274,134,171,122,103,30.0
Data_Victor_1.avi,143,4.7667,True,True,621,242,630,243,612,241,222,126,274,132,171,120,103,30.0
Data_Victor_1.avi,144,4.8,True,True,621,242,630,243,613,241,219,126,270,132,174,120,96,30.0
Data_Victor_1.avi,145,4.8333,True,True,621,242,630,243,613,241,219,126,270,132,174,120,96,30.0
Data_Victor_1.avi,146,4.8667,True,True,621,242,630,243,613,241,219,126,270,132,174,120,96,30.0
Data_Victor_1.avi,147,4.9,True,True,621,242,630,243,613,241,217,126,268,132,171,120,97,30.0
Data_Victor_1.avi,148,4.9333,True,True,621,242,630,243,613,241,217,126,268,132,171,120,97,30.0
Data_Victor_1.avi,149,4.9667,True,True,621,242,630,243,613,241,217,126,268,132,171,120,97,30.0
Data_Victor_1.avi,150,5.0,True,True,621,242,630,243,613,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,151,5.0333,True,True,621,242,630,243,613,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,152,5.0667,True,True,621,242,630,243,613,242,217,126,268,132,171,126,97,30.0
Data_Victor_1.avi,153,5.1,True,True,621,242,630,243,613,241,219,126,270,132,174,120,96,30.0
Data_Victor_1.avi,154,5.1333,True,True,621,242,630,243,613,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,155,5.1667,True,True,621,242,630,243,613,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,156,5.2,True,True,621,242,630,243,613,241,219,126,270,132,174,120,96,30.0
Data_Victor_1.avi,157,5.2333,True,True,621,242,630,243,613,241,219,126,270,132,174,120,96,30.0
Data_Victor_1.avi,158,5.2667,True,True,621,242,630,243,613,241,217,126,268,132,171,120,97,30.0
Data_Victor_1.avi,159,5.3,True,True,621,242,630,243,612,241,219,129,270,135,169,123,101,30.0
Data_Victor_1.avi,160,5.3333,True,True,621,242,630,243,612,241,225,129,276,135,174,123,102,30.0
Data_Victor_1.avi,161,5.3667,True,True,620,242,629,243,612,241,219,129,270,135,174,123,96,30.0
Data_Victor_1.avi,162,5.4,True,True,620,242,629,243,612,241,219,129,270,135,174,123,96,30.0
Data_Victor_1.avi,163,5.4333,True,True,620,242,629,243,612,241,222,126,274,132,177,120,97,30.0
Data_Victor_1.avi,164,5.4667,True,True,620,242,629,243,612,241,222,129,274,135,177,123,97,30.0
Data_Victor_1.avi,165,5.5,True,True,620,242,629,243,612,241,222,126,274,132,177,120,97,30.0
Data_Victor_1.avi,166,5.5333,True,True,620,242,629,243,612,241,222,126,274,132,177,120,97,30.0
Data_Victor_1.avi,167,5.5667,True,True,620,242,629,243,612,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,168,5.6,True,True,620,242,629,243,612,241,217,126,268,132,171,120,97,30.0
Data_Victor_1.avi,169,5.6333,True,True,620,242,629,243,612,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,170,5.6667,True,True,620,242,629,243,612,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,171,5.7,True,True,620,242,629,243,612,242,217,126,268,132,171,126,97,30.0
Data_Victor_1.avi,172,5.7333,True,True,620,242,629,243,612,242,219,126,270,132,174,126,96,30.0
