VideoID,Vel_Global_Mean,Vel_Global_Std,Vel_Skewness,Vel_Kurtosis,Num_Saccades,Mean_Saccade_Amp,Std_Saccade_Amp,Mean_Saccade_Dur,Mean_Peak_Vel,Mean_Peak_Acc,Mean_Saccade_Jerk,Mean_Saccade_Asymmetry,Latency_Mean,MainSeq_Slope,MainSeq_Intercept,MainSeq_R2,LinearSeq_Slope,LinearSeq_Intercept,LinearSeq_R2,Num_Fixations,Mean_Fixation_Dur,Std_Fixation_Dur,Mean_Fixation_Dispersion,Estabilidad_Std_Deg,Drift_Total_Deg,RMSE_Error,Ganancia_Velocidad,Potencia_Freq_Baja,Potencia_Freq_Alta,Ratio_Freq_Alta_Baja,Vel_Entropy
Venegas_9_puntos_intento_10,21.923513308561862,30.647288215866617,3.0402307112922706,13.66061822530817,45,3.3117607886436935,2.6058190300645574,0.054074066666666615,63.11578354565044,836.673837738082,14369.204495928638,0.7903605152679785,0.24651274999999934,19.423707243433128,-1.2108884732458804,0.9442715527108766,0.00025074088525954796,0.05324367283475424,0.0004785377167857937,8,2.151042,1.1715327114714789,1.2210484448886896,0,0,0,0,279008.5285058458,263748.3875125556,0.9453058260406695,0.9065481709275871
Venegas_9_puntos_intento_1,22.37101275758063,36.47240336994094,5.054430122329931,34.437068114703976,51,3.3440360026059888,3.2794829912443424,0.05637252941176493,60.7524054911752,808.3256228727573,13914.576872525897,0.8782011509912299,0.18609624999999963,20.132525968901675,-6.571486172232021,0.9442966590393375,0.0009508433137176777,0.05319287513785584,0.011270543929045902,8,2.18125,0.8586135682156438,0.92330939794018,0,0,0,0,328295.60638212325,292468.9358737173,0.8908706975883315,0.8922858797953888
Venegas_9_puntos_intento_2,26.029732248335055,35.43744668040883,2.9717954165633316,13.214064502922756,54,3.7365329447050297,3.1006964077327224,0.0600308518518521,66.35919381468085,866.9610262827961,14551.488389443492,0.8890937810496363,0.23397537499999999,16.527030559659114,4.605399650367765,0.8660088659741401,0.002385489919942561,0.05111739017672495,0.050382670497591014,11,1.4931819090909089,0.6343284038170538,0.9496745461198549,0,0,0,0,318229.6881860096,290113.0460148391,0.9116467029448001,0.8556910828712532
Venegas_9_puntos_intento_3,20.756113826728637,38.194900808167425,4.332352949108789,24.255797864451544,43,4.003990955127094,3.995277787529799,0.05910848837209344,68.77081307575618,931.0436583701212,16244.547477277252,0.9001000478989647,0.18499212499999945,17.136335257746474,0.15708169971378538,0.9217976352747945,0.0019131414765431144,0.051448287204136314,0.04300561272894666,9,1.9268517777777774,0.5760975665396828,0.9881486180514094,0,0,0,0,346788.53446062526,293335.0817074755,0.8458615339254683,0.7691666189456172
Venegas_9_puntos_intento_4,23.993765443116025,35.29238270660216,4.142853716544652,24.16973312662082,54,3.283875402988531,2.835069054292783,0.05000001851851842,65.05608740369696,813.233347003707,14205.228806340365,0.8546237517799818,0.21571274999999973,20.322757815141603,-1.6813171063394918,0.9496265746777175,0.00039332503362279566,0.04870838811522489,0.0052722890434233356,5,3.4800002,1.8985886096285318,3.0704680046535744,0,0,0,0,331441.00623136887,290314.0470279958,0.8759146924157613,0.9642501929991365
Venegas_9_puntos_intento_5,22.077246123892323,38.509856813157654,3.956059475552462,19.090493515555213,55,3.349928562363879,3.7000495961597237,0.04939383636363662,61.853067225294915,824.3020310103456,14409.580488480622,0.8709167518551705,0.2583961250000003,18.268838120890877,0.6537646029205177,0.9812229597227131,0.00024758899294524846,0.04856443092444242,0.0033007076538435925,9,1.8925927777777771,0.3293364768275665,0.7767540738254459,0,0,0,0,367218.1858200527,297764.6810886924,0.8108658355874419,0.8342800393518393
Venegas_9_puntos_intento_6,23.13994642479668,39.52169116342265,3.83168209947475,18.120566293964778,54,3.523400835340866,3.4435850899027693,0.0583334444444442,65.34711617307961,859.8812037067917,15396.618430046552,0.8603479072075376,0.23367112499999998,19.393191717081482,-2.9828717228108417,0.967085536623299,0.0004789736719519043,0.05664582820858258,0.0028133695323409673,10,1.7033333999999996,0.6108611798009608,0.6573447134167816,0,0,0,0,345866.8501988093,348591.12477302214,1.0078766570766728,0.7806073015482111
Venegas_9_puntos_intento_7,23.675852129550197,34.191194165048316,3.647788472234531,17.73883885091713,51,3.4732451794906836,2.985726979250551,0.05261443137254893,65.80343577769358,837.1956882897094,14811.756784399715,0.8942512046450343,0.26905037500000023,19.030303641694633,-0.2934746100663119,0.9605095369610888,2.7389227430953066e-05,0.0525193018704044,2.816115810610161e-05,7,2.4499999999999997,1.105478579118112,1.224239985946206,0,0,0,0,310473.015520679,271216.2714147767,0.8735582735235771,0.8938368663472516
Venegas_9_puntos_intento_8,23.493541088822877,35.66429626870042,3.913590571089173,20.72192096332875,55,3.2383295160982026,2.9354652264883807,0.05515154545454535,62.78122141363529,784.6544074451577,14036.723992950469,0.8431295897616122,0.31173357142857105,20.09613677541658,-2.296691465742768,0.936121583336116,0.0009114505477810222,0.05219996824320219,0.008906567513932671,8,2.121875125,0.7350484729859541,0.7683842779915218,0,0,0,0,318076.03675648896,307155.73056953534,0.965667623693766,0.8938972254119415
Venegas_9_puntos_intento_9,19.976403491695294,28.881143191826197,3.7232771356001346,19.762074725837888,47,3.28137322681855,2.7497083874524804,0.05443259574468055,59.856080990524056,731.3185231821227,13120.228736938829,0.8471985399102095,0.21665449999999958,17.209508981545223,3.38525897178819,0.9102666259973777,0.0006105811414911879,0.05242905113419105,0.0057681297423029625,9,1.9250002222222224,1.032736782104324,0.7942339227350323,0,0,0,0,271854.75696790783,249190.99645981402,0.9166328345261,0.9013980295079191
