,offset_aplicado_ms,duracion_analizada_seg,conteo_fijaciones,conteo_sacadicos,conteo_parpadeos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,duracion_media_parpadeo_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,total_archivos_procesados
Victor_intento_1_data,500.0,20.033333,11.0,10.0,0.0,0.5490848677052391,0.49916806155021737,1654.5452727272727,93.3333000000001,0.0,14.211844456502671,3.413456508462144,154.08750103879967,
Victor_intento_2_data,500.0,20.066667000000002,10.0,9.0,0.0,0.49833886215383943,0.4485049759384555,1839.9998,92.59266666666655,0.0,15.696088228151991,2.866877781956222,168.83219520632267,
Victor_intento_3_data,500.0,20.0,10.0,11.0,0.0,0.5,0.55,1786.6665999999998,93.93936363636335,0.0,12.30470887293928,3.3369884907592713,142.77377531142616,
Victor_intento_4_data,500.0,20.0,10.0,9.0,0.0,0.5,0.45,1816.6667000000002,100.0,0.0,17.176605969540883,3.360158129555024,173.0317454654289,
Victor_intento_5_data,500.0,20.033333,12.0,12.0,1.0,0.5990016738602608,0.5990016738602608,1408.3333333333328,91.66666666666659,100.0,12.351225523415557,2.9281039101141073,134.19911452685693,
PROMEDIO_GENERAL,500.0,20.0266666,10.6,10.2,0.2,0.5292850807438678,0.5093349422697868,1701.2423412121211,94.3063993939393,20.0,14.348094610110076,3.181116964169354,154.58486630976685,5.0
