,offset_aplicado_ms,duracion_analizada_seg,conteo_fijaciones,conteo_sacadicos,conteo_parpadeos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,duracion_media_parpadeo_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,total_archivos_procesados
Sanchez_intento_10_data,0.0,19.9,12.0,15.0,2.0,0.6030150753768845,0.7537688442211056,1366.6667499999996,91.11113333333333,66.66699999999946,16.49050642854224,3.413253161657279,107.95389161070858,
Sanchez_intento_1_data,0.0,19.933334000000002,12.0,12.0,0.0,0.6020066688292084,0.6020066688292084,1466.6668333333334,83.33333333333337,0.0,10.920572776756776,3.571922157989422,131.82663955348374,
Sanchez_intento_2_data,0.0,19.9,12.0,12.0,0.0,0.6030150753768845,0.6030150753768845,1416.6668333333334,94.4445000000001,0.0,13.941702321759394,5.170483313706919,144.9837224579122,
Sanchez_intento_3_data,0.0,19.9,13.0,12.0,1.0,0.6532663316582915,0.6030150753768845,1335.8974615384616,86.11116666666676,100.0,11.930457152352476,4.819481787737271,136.7041119116599,
Sanchez_intento_4_data,0.0,19.933334000000002,12.0,11.0,0.0,0.6020066688292084,0.5518394464267743,1486.11125,90.90909090909058,0.0,11.959468108146051,3.7033353765799095,130.89094811679007,
Sanchez_intento_5_data,0.0,19.9,15.0,12.0,3.0,0.7537688442211056,0.6030150753768845,1120.0001333333332,86.11116666666673,66.66700000000007,16.875610806278292,3.7291886878485445,119.25559156949804,
Sanchez_intento_6_data,0.0,19.9,13.0,11.0,1.0,0.6532663316582915,0.5527638190954774,1358.9743076923075,96.96972727272727,66.66699999999992,12.67418409104428,3.909012253881458,136.07125985189475,
Sanchez_intento_7_data,0.0,19.9,11.0,12.0,0.0,0.5527638190954774,0.6030150753768845,1584.8485454545453,91.66674999999994,0.0,11.331354544951436,3.142609456309468,122.56481376294396,
Sanchez_intento_8_data,0.0,19.9,12.0,13.0,0.0,0.6030150753768845,0.6532663316582915,1452.7778333333329,89.74361538461514,0.0,11.403983343070486,3.716591626624879,129.57779388492438,
Sanchez_intento_9_data,0.0,19.933334000000002,11.0,13.0,2.0,0.5518394464267743,0.6521738912316424,1536.3639090909091,94.8718461538461,66.66700000000037,11.080209087759597,3.8780493425045317,123.28028032022293,
PROMEDIO_GENERAL,0.0,19.9100002,12.3,12.3,0.9,0.6177963336849011,0.6177879302970039,1412.4973857109558,90.52723297202793,36.66679999999998,12.8608048660661,3.9053927164839677,128.31090530400385,10.0
