,archivo,duracion_total_seg,conteo_fijaciones,conteo_sacadicos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,total_archivos_procesados
0,Sthepanie_intento_1_data,18.466667,12.0,11.0,0.6498194828552439,0.5956678592839736,1286.1111666666666,96.96972727272727,6.502768876237263,4.309633704132022,80.68523629876296,
1,Sthepanie_intento_3_data,18.5,12.0,11.0,0.6486486486486487,0.5945945945945946,1377.7778333333333,90.9090909090909,7.3118590932487795,3.115086866050257,90.63773079674723,
2,Sthepanie_intento_5_data,18.466667,9.0,10.0,0.48736461214143295,0.5415162357127032,1818.518666666667,100.0,9.958400424313679,2.687863113662297,102.97996910295561,
3,Sthepanie_intento_4_data,18.466667,10.0,10.0,0.5415162357127032,0.5415162357127032,1636.6666,100.00000000000001,9.557938296016516,2.321351127174961,97.78607012961916,
4,Sthepanie_intento_2_data,18.433332999999998,13.0,12.0,0.7052441357187006,0.6509945868172621,1194.8718461538456,97.22216666666668,6.324608682664529,3.4219888039529716,79.90430825801997,
PROMEDIO_GENERAL,,18.466666800000002,11.2,10.8,0.606518623015346,0.5848579024242474,1462.7892225641024,97.02019696969697,7.931115074496153,3.1711847229945014,90.39866291722097,5.0
