Metrica,Etiqueta,mu_man,sd_man,mu_tar,sd_tar,mu_con,sd_con,Pct_cambio_MT,p_MT,d_MT,OVL_MT,p_TC,d_TC,OVL_TC,Lambda
Pupil_Mean,Diametro Pupilar Prom. (px),58.73399435538146,11.08051277288032,75.55290515500259,9.126976887843115,80.05089499023782,6.676681368674888,28.635734695404906,1.4813676538899663e-68,-1.6261169533157938,,5.999655932647202e-08,-0.5357977596055093,,0.7889941923414355
Pupil_CV,Coef. Variacion Pupilar,0.045434857888037576,0.022739597029414225,0.056021518794451095,0.03354509757106118,0.03651990128944405,0.015053461501370623,23.300746163885,2.7216233728236937e-07,-0.3838883531976318,,8.540825577757655e-18,0.6778910226262805,,-1.187516819552855
Pupil_Vel_Max,Vel. Max. Pupila (px/s),239.99743215031316,415.9028776474654,258.696375,230.7226999863961,299.09301886792457,171.51338564492778,7.791309549501957,9.991286788523606e-05,-0.05287839057338735,,2.0562479943166376e-09,-0.18970749188281796,,0.31641860058078164
Vel_Mean,Velocidad Sacadica Prom.,26.977721270813486,8.047867744033256,26.089255569301862,7.851153519193933,28.77522173588025,9.80518441743566,-3.29333116237965,0.049123157831403176,0.111480228250157,,0.0004226770975171297,-0.3142209001321828,,-0.494278426503007
Jerk_Mean,Jerk Ocular Medio,11419.06743180654,3249.1441679613945,12646.133138333127,2929.125178149385,11024.921486111727,3705.512096948246,10.745761103999902,2.0803432249301054e-09,-0.39266200583676025,,7.855747183041108e-10,0.5054947547522383,,-3.113226762648743
Jerk_Max,Jerk Ocular Maximo,129549.06719011787,32637.554686625517,144028.65845835806,19919.75279992358,123419.18195397164,30326.81603571461,11.176916655826528,4.859920463475769e-10,-0.5126757814921229,,8.526440217599513e-19,0.8632309113829132,,-2.3621308899647984
Main_Seq_Slope,Pendiente Main Sequence,1186.767507071123,336.1998340065473,1182.5672400690614,307.75188390764583,1041.275327626834,310.17566917187236,-0.35392500865039395,0.2885702478268989,0.012919429342412761,,6.314980513753398e-14,0.45791210632372814,,0.028869366161841575
Fractal_Dim,Dimension Fractal (HFD),1.110595131667967,0.026224476518904163,1.098008478109279,0.02156455007967629,1.1186031912214989,0.025501728419197896,-1.1333251154977202,2.8056150322607267e-12,0.5144528404562008,,1.4235455975182455e-17,-0.897621736079511,,-1.571748246194896
