
1764870998.5065,0.1342,320,180,4
1764870998.5397,0.1674,320,180,5
1764870998.5729,0.2005,320,180,6
1764870998.6078,0.2355,320,180,7
1764870998.6400,0.2677,320,180,8
1764870998.6733,0.3009,320,180,9
1764870998.7073,0.3350,320,180,10
1764870998.7395,0.3672,320,180,11
1764870998.7737,0.4014,320,180,12
1764870998.8071,0.4347,320,180,13
1764870998.8388,0.4665,320,180,14
1764870998.8711,0.4988,320,180,15
1764870998.9071,0.5348,320,180,16
1764870998.9392,0.5668,320,180,17
1764870998.9740,0.6017,320,180,18
1764870999.0072,0.6348,320,180,19
1764870999.0397,0.6673,320,180,20
1764870999.0710,0.6987,320,180,21
1764870999.1072,0.7348,320,180,22
1764870999.1390,0.7667,320,180,23
1764870999.1740,0.8017,320,180,24
1764870999.2071,0.8347,320,180,25
1764870999.2389,0.8666,320,180,26
1764870999.2728,0.9005,320,180,27
1764870999.3075,0.9352,320,180,28
1764870999.3388,0.9665,320,180,29
1764870999.3719,0.9995,320,180,30
1764870999.4072,1.0349,320,180,31
1764870999.4392,1.0668,320,180,32
1764870999.4737,1.1014,320,180,33
1764870999.5076,1.1352,320,180,34
1764870999.5398,1.1674,320,180,35
1764870999.5730,1.2007,320,180,36
1764870999.6070,1.2346,320,180,37
1764870999.6393,1.2670,320,180,38
1764870999.6719,1.2996,320,180,39
1764870999.7079,1.3356,320,180,40
1764870999.7392,1.3669,320,180,41
1764870999.7728,1.4005,320,180,42
1764870999.8072,1.4349,320,180,43
1764870999.8395,1.4672,320,180,44
1764870999.8738,1.5014,320,180,45
1764870999.9075,1.5351,320,180,46
1764870999.9397,1.5674,320,180,47
1764870999.9733,1.6009,320,180,48
1764871000.0073,1.6350,320,180,49
1764871000.0394,1.6671,320,180,50
1764871000.0738,1.7015,320,180,51
1764871000.1071,1.7347,320,180,52
1764871000.1398,1.7675,320,180,53
1764871000.1740,1.8016,320,180,54
1764871000.2075,1.8351,320,180,55
1764871000.2391,1.8667,320,180,56
1764871000.2738,1.9015,320,180,57
1764871000.3072,1.9349,320,180,58
1764871000.3397,1.9673,320,180,59
1764871000.3720,1.9996,960,180,60
1764871000.4075,2.0351,960,180,61
1764871000.4399,2.0676,960,180,62
1764871000.4737,2.1013,960,180,63
1764871000.5071,2.1347,960,180,64
1764871000.5389,2.1666,960,180,65
1764871000.5720,2.1996,960,180,66
1764871000.6080,2.2357,960,180,67
1764871000.6391,2.2667,960,180,68
1764871000.6720,2.2997,960,180,69
1764871000.7074,2.3351,960,180,70
1764871000.7391,2.3667,960,180,71
1764871000.7733,2.4010,960,180,72
