video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,36,1200.000,True,351.000,202.000,0.000,431.000,220.000,0.269402,-0.173343,0.947299,72.692,118.476,11.000
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,37,1233.333,True,350.000,202.000,0.000,431.000,220.000,0.274608,-0.173291,0.945812,73.021,118.618,10.968
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,38,1266.667,True,349.000,202.000,0.000,431.000,220.000,0.279821,-0.173239,0.944293,73.046,119.954,10.822
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,39,1300.000,True,349.000,202.000,0.000,431.000,220.000,0.279821,-0.173239,0.944293,72.895,119.703,10.187
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,40,1333.333,True,348.000,202.000,0.000,431.000,220.000,0.285041,-0.173185,0.942740,73.052,119.751,10.531
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,41,1366.667,True,348.000,201.000,0.000,431.000,220.000,0.285289,-0.179703,0.941444,72.208,120.316,11.158
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,42,1400.000,True,348.000,201.000,0.000,431.000,220.000,0.285289,-0.179703,0.941444,72.451,121.478,10.699
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,43,1433.333,True,348.000,201.000,0.000,431.000,220.000,0.285289,-0.179703,0.941444,72.684,121.083,11.722
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,44,1466.667,True,348.000,201.000,0.000,431.000,220.000,0.285289,-0.179703,0.941444,73.807,120.849,10.212
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,45,1500.000,True,348.000,201.000,0.000,431.000,221.000,0.285437,-0.183489,0.940668,73.607,121.580,11.248
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,46,1533.333,True,347.000,201.000,0.000,431.000,221.000,0.290664,-0.183437,0.939077,74.128,120.980,10.992
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,47,1566.667,True,347.000,201.000,0.000,431.000,222.000,0.290817,-0.187228,0.938281,73.964,121.925,10.325
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,48,1600.000,True,347.000,201.000,0.000,431.000,222.000,0.290817,-0.187228,0.938281,74.350,120.878,11.577
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,49,1633.333,True,347.000,201.000,0.000,431.000,223.000,0.290973,-0.191022,0.937468,73.404,120.257,11.869
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,50,1666.667,True,347.000,201.000,0.000,430.000,223.000,0.286918,-0.191058,0.938709,73.467,116.422,13.584
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,51,1700.000,True,347.000,201.000,0.000,428.000,222.000,0.278684,-0.187342,0.941933,85.636,100.132,166.582
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,52,1733.333,True,347.000,201.000,0.000,426.000,219.000,0.270216,-0.176077,0.946562,89.008,116.668,178.433
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,53,1766.667,True,347.000,201.000,0.000,426.000,217.000,0.269951,-0.168529,0.948011,74.688,131.428,12.554
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,54,1800.000,True,347.000,201.000,0.000,424.000,215.000,0.261704,-0.161083,0.951611,73.179,125.111,11.153
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,55,1833.333,True,347.000,201.000,0.000,424.000,214.000,0.261585,-0.157319,0.952273,73.249,121.089,8.924
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,56,1866.667,True,346.000,201.000,0.000,424.000,214.000,0.266763,-0.157255,0.950846,72.489,121.009,9.652
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,57,1900.000,True,346.000,201.000,0.000,425.000,215.000,0.270883,-0.160973,0.949058,71.589,121.647,9.970
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,58,1933.333,True,346.000,201.000,0.000,425.000,217.000,0.271133,-0.168515,0.947676,72.494,121.116,8.951
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,59,1966.667,True,346.000,201.000,0.000,425.000,218.000,0.271263,-0.172289,0.946960,72.319,119.890,8.565
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,60,2000.000,True,346.000,201.000,0.000,425.000,220.000,0.271531,-0.179842,0.945477,72.669,119.783,8.585
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,61,2033.333,True,346.000,201.000,0.000,427.000,221.000,0.279714,-0.183545,0.942375,73.159,118.851,10.552
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,62,2066.667,True,346.000,201.000,0.000,429.000,222.000,0.287938,-0.187256,0.939163,72.538,118.555,9.356
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,63,2100.000,True,346.000,201.000,0.000,430.000,223.000,0.292145,-0.191011,0.937105,70.765,117.955,10.691
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,64,2133.333,True,347.000,201.000,0.000,432.000,224.000,0.295196,-0.194782,0.935371,66.856,115.342,13.447
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,65,2166.667,True,347.000,201.000,0.000,434.000,225.000,0.303521,-0.198515,0.931916,65.430,112.998,13.850
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,66,2200.000,True,347.000,201.000,0.000,434.000,225.000,0.303521,-0.198515,0.931916,66.026,113.607,13.576
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,67,2233.333,True,347.000,201.000,0.000,438.000,226.000,0.320130,-0.202189,0.925546,58.557,117.563,6.388
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,68,2266.667,True,347.000,201.000,0.000,446.000,226.000,0.353487,-0.201896,0.913392,51.919,119.432,2.759
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,69,2300.000,True,347.000,201.000,0.000,455.000,224.000,0.391451,-0.193793,0.899561,51.263,119.793,1.133
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,70,2333.333,True,347.000,201.000,0.000,465.000,222.000,0.434891,-0.185454,0.881179,51.474,117.314,0.972
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,71,2366.667,True,347.000,201.000,0.000,474.000,220.000,0.475266,-0.176956,0.861863,47.954,113.606,1.960
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,72,2400.000,True,347.000,201.000,0.000,480.000,218.000,0.502848,-0.168523,0.847788,47.425,109.470,1.998
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,73,2433.333,True,347.000,201.000,0.000,482.000,216.000,0.511866,-0.160418,0.843954,43.984,103.913,1.903
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,74,2466.667,True,347.000,201.000,0.000,483.000,217.000,0.516923,-0.164246,0.840127,40.849,99.356,1.555
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,75,2500.000,True,347.000,201.000,0.000,483.000,217.000,0.516923,-0.164246,0.840127,40.945,95.320,0.972
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,76,2533.333,True,347.000,201.000,0.000,482.000,217.000,0.512122,-0.164362,0.843040,39.015,94.922,1.086
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,77,2566.667,True,346.000,201.000,0.000,482.000,217.000,0.518051,-0.164219,0.839438,41.029,92.928,1.391
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,78,2600.000,True,346.000,201.000,0.000,482.000,217.000,0.518051,-0.164219,0.839438,39.536,92.042,1.073
