video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,darkest_pixel_x,darkest_pixel_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,378.000,241.000,370,257,0.217618,-0.003752,0.976027,70.079,82.648,4.751,3959.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,377.000,240.000,359,249,0.213782,0.000000,0.976881,72.072,81.130,6.295,3997.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,3,100.000,True,320.000,240.000,0.000,377.000,240.000,370,257,0.213782,0.000000,0.976881,70.286,80.032,8.167,3959.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,4,133.333,True,351.000,239.000,0.000,376.000,239.000,369,260,0.055368,-0.002849,0.998462,70.864,88.147,176.436,4569.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,5,166.667,True,355.000,238.000,0.000,376.000,238.000,370,257,0.035594,-0.005701,0.999350,67.774,87.832,178.817,4510.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,6,200.000,True,354.000,238.000,0.000,374.000,236.000,353,215,0.033083,0.001721,0.999451,68.664,90.960,177.508,4704.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,7,233.333,True,354.000,237.000,0.000,373.000,234.000,355,213,0.029361,0.002581,0.999566,70.048,90.696,177.928,4739.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,8,266.667,True,354.000,237.000,0.000,371.000,232.000,363,253,0.021926,0.010002,0.999710,70.606,92.877,177.444,4856.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,9,300.000,True,354.000,237.000,0.000,370.000,231.000,354,213,0.018212,0.013713,0.999740,70.380,91.463,178.772,4799.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,10,333.333,True,353.000,237.000,0.000,368.000,229.000,356,211,0.015719,0.021136,0.999653,71.988,93.011,179.330,4904.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,11,366.667,True,352.000,236.000,0.000,368.000,229.000,356,211,0.020638,0.014573,0.999681,70.950,92.429,178.442,4872.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,12,400.000,True,352.000,236.000,0.000,368.000,229.000,354,213,0.020638,0.014573,0.999681,70.833,93.518,0.131,4930.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,13,433.333,False,351.000,236.000,,,,,,,,,,,,
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,14,466.667,True,351.000,236.000,0.000,370.000,228.000,362,242,0.033017,0.018293,0.999287,73.963,94.962,80.905,4253.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,15,500.000,True,350.000,236.000,0.000,371.000,224.000,360,245,0.041713,0.033160,0.998579,78.379,121.382,2.738,6518.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,16,533.333,True,350.000,236.000,0.000,371.000,223.000,360,247,0.041724,0.036877,0.998448,69.512,96.223,2.820,5076.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,17,566.667,True,350.000,236.000,0.000,370.000,222.000,358,249,0.038010,0.040590,0.998453,70.121,94.480,1.380,5007.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,18,600.000,True,349.000,236.000,0.000,369.000,222.000,364,243,0.039223,0.040591,0.998406,70.410,96.778,2.122,5180.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,19,633.333,True,349.000,235.000,0.000,367.000,223.000,360,241,0.031745,0.030297,0.999037,68.545,98.235,0.469,5126.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,20,666.667,True,349.000,235.000,0.000,365.000,227.000,360,240,0.024278,0.015435,0.999586,69.415,100.469,1.173,5310.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,21,700.000,True,349.000,235.000,0.000,364.000,227.000,363,250,0.020560,0.015434,0.999669,68.449,94.970,179.436,4903.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,22,733.333,True,349.000,235.000,0.000,363.000,228.000,361,240,0.016840,0.011720,0.999790,67.736,90.184,175.988,4605.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,23,766.667,True,349.000,235.000,0.000,363.000,228.000,362,242,0.016840,0.011720,0.999790,66.897,89.824,176.183,4532.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,24,800.000,True,350.000,235.000,0.000,363.000,228.000,359,257,0.011913,0.011718,0.999860,66.656,88.705,177.155,4468.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,25,833.333,True,350.000,235.000,0.000,363.000,229.000,372,232,0.011910,0.008007,0.999897,62.248,83.817,170.872,3634.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,26,866.667,True,350.000,235.000,0.000,363.000,230.000,373,230,0.011908,0.004296,0.999920,63.958,83.765,169.587,3722.5
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,27,900.000,True,350.000,235.000,0.000,363.000,230.000,360,242,0.011908,0.004296,0.999920,63.693,85.401,172.115,3807.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,28,933.333,True,351.000,234.000,0.000,363.000,230.000,360,242,0.006982,-0.002268,0.999973,63.802,86.644,171.421,3849.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,29,966.667,True,351.000,234.000,0.000,363.000,229.000,360,241,0.006982,0.001443,0.999975,67.905,92.548,178.875,4718.0
grabacion_experimento_ESP32CAM_1_ROI_640x480.mp4,30,1000.000,False,351.000,234.000,,,,,,,,,,,,
