video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,darkest_pixel_x,darkest_pixel_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,33,1100.000,True,355.000,193.000,0.000,370.000,191.000,354,189,0.013963,-0.125933,0.991940,70.111,112.732,10.956,5048.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,34,1133.333,True,355.000,192.000,0.000,369.000,192.000,354,190,0.010348,-0.136113,0.990639,67.813,109.785,3.429,4856.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,35,1166.667,True,355.000,192.000,0.000,369.000,192.000,361,225,0.010348,-0.136113,0.990639,68.612,110.936,13.187,4587.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,36,1200.000,True,355.000,192.000,0.000,392.000,225.000,514,360,0.099762,-0.258328,0.960893,65.919,104.715,107.054,4418.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,37,1233.333,False,355.000,192.000,,,,,,,,,,,,
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,38,1266.667,False,355.000,192.000,,,,,,,,,,,,
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,39,1300.000,False,355.000,192.000,,,,,,,,,,,,
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,40,1333.333,True,354.000,192.000,0.000,392.000,225.000,360,164,0.104749,-0.258314,0.960365,76.294,78.418,117.852,4081.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,41,1366.667,True,354.000,192.000,0.000,391.000,224.000,360,166,0.100796,-0.254574,0.961786,73.193,90.998,2.860,4165.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,42,1400.000,True,354.000,192.000,0.000,391.000,224.000,358,178,0.100796,-0.254574,0.961786,73.174,92.141,6.263,4295.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,43,1433.333,True,354.000,192.000,0.000,390.000,224.000,358,180,0.096972,-0.254585,0.962176,72.154,93.253,7.121,4374.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,44,1466.667,True,354.000,192.000,0.000,370.000,194.000,386,214,0.019098,-0.143473,0.989470,57.572,105.698,9.007,3927.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,45,1500.000,True,354.000,192.000,0.000,374.000,196.000,382,226,0.034153,-0.150817,0.987971,54.627,116.010,6.809,4494.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,46,1533.333,True,354.000,192.000,0.000,378.000,199.000,387,218,0.049318,-0.161843,0.985583,55.301,117.568,6.448,4500.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,47,1566.667,True,354.000,192.000,0.000,382.000,201.000,386,225,0.064486,-0.169172,0.983475,55.148,119.336,8.055,4592.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,48,1600.000,True,355.000,192.000,0.000,387.000,203.000,385,230,0.078527,-0.176503,0.981163,54.995,122.439,6.806,4685.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,49,1633.333,True,355.000,192.000,0.000,388.000,202.000,387,228,0.082228,-0.172783,0.981522,54.798,119.416,6.747,4492.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,50,1666.667,True,355.000,192.000,0.000,387.000,201.000,388,226,0.078375,-0.169105,0.982477,53.880,118.886,7.046,4323.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,51,1700.000,True,355.000,192.000,0.000,382.000,199.000,349,166,0.059397,-0.161804,0.985034,65.692,98.972,172.600,4264.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,52,1733.333,True,355.000,192.000,0.000,375.000,198.000,355,179,0.033069,-0.158199,0.986853,64.410,92.710,172.441,4235.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,53,1766.667,True,355.000,192.000,0.000,369.000,197.000,354,180,0.010578,-0.154546,0.987929,62.931,96.442,171.917,4282.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,54,1800.000,True,355.000,192.000,0.000,363.000,196.000,354,180,-0.011853,-0.150856,0.988485,64.081,94.457,173.385,4328.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,55,1833.333,True,356.000,192.000,0.000,357.000,195.000,353,182,-0.039149,-0.147115,0.988344,63.876,99.029,179.573,4340.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,56,1866.667,True,356.000,192.000,0.000,357.000,196.000,351,184,-0.039113,-0.150804,0.987790,64.282,97.334,177.726,4341.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,57,1900.000,True,356.000,192.000,0.000,357.000,196.000,352,184,-0.039113,-0.150804,0.987790,60.486,100.203,176.324,4047.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,58,1933.333,True,356.000,192.000,0.000,360.000,196.000,353,194,-0.027944,-0.150832,0.988164,67.823,117.128,10.819,5316.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,59,1966.667,True,356.000,192.000,0.000,363.000,195.000,353,195,-0.016810,-0.147163,0.988969,66.995,120.322,9.972,5430.0
