,archivo,duracion_total_seg,conteo_fijaciones,conteo_sacadicos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,total_archivos_procesados
0,grabacion_experimento_ESP32CAM_5_ROI_640x480_data,16.3,10.0,9.0,0.6134969325153374,0.5521472392638036,1300.0001,162.96300000000005,16.046628306825898,5.521187719697229,97.61386308318623,
1,grabacion_experimento_ESP32CAM_1_ROI_640x480_data,12.6,10.0,10.0,0.7936507936507937,0.7936507936507937,993.3333999999999,156.66659999999987,12.383290970588167,5.562119219069599,79.549115539116,
2,grabacion_experimento_ESP32CAM_3_ROI_640x480_data,16.533333,10.0,11.0,0.6048387218717485,0.6653225940589234,1293.3335999999997,163.6366363636362,13.3873479893205,3.533772040336815,80.11338578927557,
3,grabacion_experimento_ESP32CAM_4_ROI_640x480_data,15.533333,11.0,10.0,0.7081545216342172,0.6437768378492883,1172.7270909090912,160.00010000000003,12.848298503569254,4.019787483241761,92.0453581784549,
4,grabacion_experimento_ESP32CAM_2_ROI_640x480_data,15.733333,11.0,9.0,0.6991525571854356,0.5720339104244473,1212.121181818182,162.962888888889,14.959490558451755,5.281865405988247,93.61423697713926,
PROMEDIO_GENERAL,,15.339999799999998,10.4,9.8,0.6838587053715065,0.6453862750494512,1194.3030745454546,161.245845050505,13.925011265751113,4.78374637366673,88.5871919134344,5.0
