Tiempo_s,Frame_Index,EAR_Crudo,EAR_Suavizado,Velocidad_dEAR_dt,Aceleracion_d2EAR_dt2,Blink_Detectado
3.000000,90,0.252310,0.251408,-0.000716,-0.001247,False
3.033333,91,0.250324,0.251412,0.000004,0.000720,False
3.066667,92,0.251599,0.251655,0.000243,0.000239,False
3.100000,93,0.254095,0.252737,0.001082,0.000839,False
3.133333,94,0.252843,0.255159,0.002423,0.001341,False
3.166667,95,0.258066,0.257574,0.002415,-0.000008,False
3.200000,96,0.259202,0.257500,-0.000074,-0.002489,False
3.233333,97,0.258140,0.257083,-0.000417,-0.000343,False
3.266667,98,0.251593,0.254928,-0.002155,-0.001738,False
3.300000,99,0.254634,0.253142,-0.001786,0.000369,False
3.333333,100,0.252712,0.252645,-0.000496,0.001290,False
3.366667,101,0.251963,0.252789,0.000144,0.000640,False
3.400000,102,0.252100,0.250708,-0.002081,-0.002224,False
3.433333,103,0.248907,0.248776,-0.001932,0.000149,False
3.466667,104,0.245741,0.246900,-0.001876,0.000056,False
3.500000,105,0.245569,0.245706,-0.001195,0.000681,False
3.533333,106,0.246132,0.245762,0.000056,0.001251,False
3.566667,107,0.246452,0.248071,0.002309,0.002253,False
3.600000,108,0.246139,0.247337,-0.000734,-0.003043,False
3.633333,109,0.245938,0.238253,-0.009084,-0.008350,False
3.666667,110,0.226168,0.224084,-0.014169,-0.005084,False
3.700000,111,0.204499,0.212841,-0.011243,0.002926,False
3.733333,112,0.206345,0.210454,-0.002387,0.008856,False
3.766667,113,0.222290,0.219002,0.008548,0.010935,False
3.800000,114,0.234657,0.231168,0.012165,0.003617,False
3.833333,115,0.238104,0.238198,0.007030,-0.005136,False
3.866667,116,0.239231,0.239876,0.001678,-0.005351,False
3.900000,117,0.239086,0.239464,-0.000412,-0.002090,False
3.933333,118,0.239674,0.239626,0.000162,0.000574,False
3.966667,119,0.239389,0.239902,0.000276,0.000114,False
4.000000,120,0.240728,0.239996,0.000095,-0.000181,False
4.033333,121,0.240048,0.240236,0.000239,0.000145,False
4.066667,122,0.239573,0.240087,-0.000149,-0.000388,False
4.100000,123,0.240686,0.239730,-0.000357,-0.000208,False
4.133333,124,0.239038,0.239694,-0.000036,0.000321,False
4.166667,125,0.240054,0.240526,0.000833,0.000869,False
4.200000,126,0.240494,0.239708,-0.000819,-0.001651,False
4.233333,127,0.242120,0.240159,0.000452,0.001270,False
4.266667,128,0.237894,0.242320,0.002161,0.001709,False
4.300000,129,0.246034,0.245420,0.003100,0.000940,False
4.333333,130,0.251008,0.248172,0.002752,-0.000349,False
4.366667,131,0.249932,0.249974,0.001802,-0.000950,False
4.400000,132,0.248498,0.249646,-0.000328,-0.002130,False
4.433333,133,0.248089,0.249218,-0.000428,-0.000100,False
4.466667,134,0.251844,0.250717,0.001499,0.001927,False
4.500000,135,0.250767,0.251766,0.001048,-0.000451,False
4.533333,136,0.252591,0.249967,-0.001799,-0.002847,False
4.566667,137,0.247192,0.246909,-0.003058,-0.001259,False
4.600000,138,0.241871,0.245668,-0.001242,0.001816,False
4.633333,139,0.245775,0.245150,-0.000517,0.000724,False
4.666667,140,0.248980,0.246654,0.001504,0.002021,False
4.700000,141,0.247530,0.248359,0.001705,0.000202,False
4.733333,142,0.248182,0.248896,0.000537,-0.001168,False
4.766667,143,0.249370,0.249032,0.000136,-0.000402,False
4.800000,144,0.250918,0.249913,0.000881,0.000745,False
4.833333,145,0.249996,0.251670,0.001757,0.000876,False
4.866667,146,0.252564,0.252312,0.000642,-0.001115,False
4.900000,147,0.255809,0.253918,0.001606,0.000964,False
4.933333,148,0.252481,0.255292,0.001374,-0.000231,False
4.966667,149,0.257840,0.255712,0.000420,-0.000954,False
5.000000,150,0.255167,0.255839,0.000127,-0.000294,False
5.033333,151,0.255668,0.255820,-0.000019,-0.000146,False
5.066667,152,0.255059,0.253978,-0.001841,-0.001822,False
5.100000,153,0.252801,0.254045,0.000067,0.001908,False
5.133333,154,0.252891,0.253537,-0.000509,-0.000575,False
5.166667,155,0.255586,0.253884,0.000347,0.000855,False
5.200000,156,0.252893,0.253973,0.000089,-0.000258,False
5.233333,157,0.254406,0.253404,-0.000569,-0.000658,False
5.266667,158,0.251880,0.252662,-0.000742,-0.000173,False
5.300000,159,0.252745,0.254567,0.001906,0.002648,False
5.333333,160,0.253607,0.255625,0.001058,-0.000848,False
5.366667,161,0.254253,0.246923,-0.008702,-0.009760,False
5.400000,162,0.238211,0.232035,-0.014887,-0.006185,False
5.433333,163,0.205290,0.217088,-0.014947,-0.000059,False
5.466667,164,0.207824,0.209226,-0.007862,0.007085,False
5.500000,165,0.215400,0.214122,0.004896,0.012758,False
5.533333,166,0.228066,0.226518,0.012396,0.007500,False
5.566667,167,0.237744,0.235671,0.009153,-0.003244,False
