estimulo_num,estimulo_label,stim_start_ms,stim_end_ms,tiempo_reaccion_ms,num_fijaciones,duracion_primera_fijacion_ms,duracion_promedio_fijaciones_ms,estado,archivo
5,P5 (Med-Cen),8500.0,10500.0,-33.33300000000054,2,1666.666000000001,1683.3330000000005,anticipación_leve,Sanchez_intento_4_data
6,P6 (Med-Der),10500.0,12500.0,-33.33300000000054,2,1700.0,1616.6665000000003,anticipación_leve,Sanchez_intento_4_data
7,P7 (Inf-Izq),12500.0,14500.0,-133.33300000000054,2,1533.3330000000003,1816.6665000000003,anticipación,Sanchez_intento_4_data
8,P8 (Inf-Cen),14500.0,16500.0,-433.33300000000054,2,2100.0,1866.6670000000004,anticipación,Sanchez_intento_4_data
9,P9 (Inf-Der),16500.0,18500.0,-166.66699999999946,1,1633.3340000000007,1633.3340000000007,anticipación,Sanchez_intento_4_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,2,1200.0,750.0,reacción_rápida,Sanchez_intento_5_data
2,P2 (Sup-Cen),2500.0,4500.0,0.0,2,1800.0,1816.6665,reacción_rápida,Sanchez_intento_5_data
3,P3 (Sup-Der),4500.0,6500.0,-33.33299999999963,1,1833.333,1833.333,anticipación_leve,Sanchez_intento_5_data
4,P4 (Med-Izq),6500.0,8500.0,0.0,2,1700.0,1783.3330000000005,reacción_rápida,Sanchez_intento_5_data
5,P5 (Med-Cen),8500.0,10500.0,-133.33300000000054,2,1866.666000000001,1816.6665000000003,anticipación,Sanchez_intento_5_data
6,P6 (Med-Der),10500.0,12500.0,-66.66699999999946,2,1766.6669999999997,1783.3334999999997,anticipación,Sanchez_intento_5_data
7,P7 (Inf-Izq),12500.0,14500.0,-100.0,2,1800.0,1733.3330000000005,anticipación,Sanchez_intento_5_data
8,P8 (Inf-Cen),14500.0,16500.0,-133.33300000000054,2,1666.666000000001,1633.3330000000014,anticipación,Sanchez_intento_5_data
9,P9 (Inf-Der),16500.0,18500.0,-133.33300000000054,1,1600.0000000000018,1600.0000000000018,anticipación,Sanchez_intento_5_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,1,1833.333,1833.333,reacción_rápida,Sanchez_intento_6_data
2,P2 (Sup-Cen),2500.0,4500.0,333.3330000000001,1,1499.9999999999995,1499.9999999999995,reacción_lenta,Sanchez_intento_6_data
3,P3 (Sup-Der),4500.0,6500.0,333.33299999999963,1,1466.6670000000004,1466.6670000000004,reacción_lenta,Sanchez_intento_6_data
4,P4 (Med-Izq),6500.0,8500.0,0.0,2,1766.6669999999997,1650.0004999999992,reacción_rápida,Sanchez_intento_6_data
5,P5 (Med-Cen),8500.0,10500.0,-66.66699999999946,2,1533.333999999999,1666.6669999999995,anticipación,Sanchez_intento_6_data
6,P6 (Med-Der),10500.0,12500.0,-100.0,2,1800.0,1800.0,anticipación,Sanchez_intento_6_data
7,P7 (Inf-Izq),12500.0,14500.0,-133.33300000000054,2,1800.0,1616.6665000000003,anticipación,Sanchez_intento_6_data
8,P8 (Inf-Cen),14500.0,16500.0,-133.33300000000054,2,1433.3330000000003,1716.666500000001,anticipación,Sanchez_intento_6_data
9,P9 (Inf-Der),16500.0,18500.0,-533.3330000000005,1,2000.0000000000016,2000.0000000000016,anticipación,Sanchez_intento_6_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,2,733.3330000000001,799.9995000000001,reacción_rápida,Sanchez_intento_7_data
2,P2 (Sup-Cen),2500.0,4500.0,0.0,2,333.3330000000001,833.3329999999999,reacción_rápida,Sanchez_intento_7_data
3,P3 (Sup-Der),4500.0,6500.0,33.33299999999963,2,1633.3340000000007,1783.3340000000003,reacción_rápida,Sanchez_intento_7_data
4,P4 (Med-Izq),6500.0,8500.0,-166.66700000000037,2,1933.334,1700.0004999999999,anticipación,Sanchez_intento_7_data
5,P5 (Med-Cen),8500.0,10500.0,-66.66699999999946,2,1466.6669999999997,1783.3334999999997,anticipación,Sanchez_intento_7_data
6,P6 (Med-Der),10500.0,12500.0,-433.33300000000054,2,2100.0,1766.6665000000003,anticipación,Sanchez_intento_7_data
7,P7 (Inf-Izq),12500.0,14500.0,-133.33300000000054,2,1433.3330000000003,1816.6665000000003,anticipación,Sanchez_intento_7_data
8,P8 (Inf-Cen),14500.0,16500.0,-533.3330000000005,2,2200.0,1933.3334999999997,anticipación,Sanchez_intento_7_data
9,P9 (Inf-Der),16500.0,18500.0,-166.66699999999946,1,1666.6669999999997,1666.6669999999997,anticipación,Sanchez_intento_7_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,1,1700.0,1700.0,reacción_rápida,Sanchez_intento_8_data
2,P2 (Sup-Cen),2500.0,4500.0,466.6669999999999,2,1300.0000000000005,1583.3335000000004,reacción_lenta,Sanchez_intento_8_data
3,P3 (Sup-Der),4500.0,6500.0,-66.66700000000037,1,1866.6670000000004,1866.6670000000004,anticipación,Sanchez_intento_8_data
4,P4 (Med-Izq),6500.0,8500.0,0.0,2,1633.3329999999996,949.9999999999995,reacción_rápida,Sanchez_intento_8_data
5,P5 (Med-Cen),8500.0,10500.0,-66.66699999999946,2,266.66699999999946,816.6669999999996,anticipación,Sanchez_intento_8_data
6,P6 (Med-Der),10500.0,12500.0,33.33300000000054,2,1666.6669999999997,1733.3334999999997,reacción_rápida,Sanchez_intento_8_data
7,P7 (Inf-Izq),12500.0,14500.0,-133.33300000000054,2,1800.0,1583.3334999999997,anticipación,Sanchez_intento_8_data
8,P8 (Inf-Cen),14500.0,16500.0,-166.66699999999946,2,1366.6669999999997,1733.3335000000006,anticipación,Sanchez_intento_8_data
9,P9 (Inf-Der),16500.0,18500.0,-633.3330000000005,1,2100.000000000002,2100.000000000002,anticipación,Sanchez_intento_8_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,2,1700.0,1266.6665,reacción_rápida,Sanchez_intento_9_data
2,P2 (Sup-Cen),2500.0,4500.0,-133.33300000000008,2,833.3330000000001,833.3330000000001,anticipación,Sanchez_intento_9_data
3,P3 (Sup-Der),4500.0,6500.0,0.0,2,300.0,833.3329999999996,reacción_rápida,Sanchez_intento_9_data
4,P4 (Med-Izq),6500.0,8500.0,33.33299999999963,2,1733.3339999999998,1766.667,reacción_rápida,Sanchez_intento_9_data
5,P5 (Med-Cen),8500.0,10500.0,-66.66699999999946,2,1800.0,1816.6665000000003,anticipación,Sanchez_intento_9_data
6,P6 (Med-Der),10500.0,12500.0,-100.0,2,1833.3330000000003,1816.6665000000003,anticipación,Sanchez_intento_9_data
7,P7 (Inf-Izq),12500.0,14500.0,-100.0,2,1800.0,1783.3330000000005,anticipación,Sanchez_intento_9_data
8,P8 (Inf-Cen),14500.0,16500.0,-133.33300000000054,2,1766.666000000001,1316.6665000000012,anticipación,Sanchez_intento_9_data
9,P9 (Inf-Der),16500.0,18500.0,-200.0,1,866.6670000000013,866.6670000000013,anticipación,Sanchez_intento_9_data
