Frame,Tiempo(s),EAR_Original,EAR_Mejorado,Diferencia
150,5.00,0.039480,0.033433,0.006047
151,5.03,0.041884,0.033963,0.007921
152,5.07,0.052800,0.041506,0.011294
153,5.10,0.045361,0.036512,0.008849
154,5.13,0.043915,0.036023,0.007891
155,5.17,0.034358,0.029806,0.004553
156,5.20,0.033795,0.030645,0.003149
157,5.23,0.072885,0.059372,0.013513
158,5.27,0.152673,0.119364,0.033310
159,5.30,0.196907,0.152187,0.044720
160,5.33,0.227063,0.174553,0.052510
161,5.37,0.250055,0.191679,0.058376
162,5.40,0.267304,0.204555,0.062749
163,5.43,0.278672,0.213079,0.065592
164,5.47,0.287174,0.219425,0.067750
165,5.50,0.290568,0.222014,0.068554
166,5.53,0.291956,0.223055,0.068901
167,5.57,0.292017,0.223068,0.068949
168,5.60,0.293440,0.224131,0.069309
169,5.63,0.293963,0.224513,0.069450
170,5.67,0.296583,0.226509,0.070074
171,5.70,0.298393,0.227874,0.070519
172,5.73,0.297536,0.227201,0.070335
173,5.77,0.296335,0.226321,0.070015
174,5.80,0.297272,0.226992,0.070280
175,5.83,0.300563,0.229483,0.071080
176,5.87,0.301222,0.229944,0.071278
177,5.90,0.301941,0.230491,0.071450
178,5.93,0.302343,0.230758,0.071585
179,5.97,0.303237,0.231417,0.071820
180,6.00,0.303610,0.231721,0.071889
181,6.03,0.303539,0.231688,0.071851
182,6.07,0.303093,0.231363,0.071730
183,6.10,0.301333,0.230061,0.071271
184,6.13,0.301691,0.230391,0.071300
185,6.17,0.302967,0.231324,0.071644
186,6.20,0.302297,0.230784,0.071513
187,6.23,0.301709,0.230306,0.071403
188,6.27,0.299539,0.228628,0.070911
189,6.30,0.300270,0.229171,0.071099
190,6.33,0.299693,0.228758,0.070935
191,6.37,0.300030,0.229022,0.071008
192,6.40,0.300356,0.229190,0.071167
193,6.43,0.301541,0.230086,0.071454
194,6.47,0.302916,0.231130,0.071786
195,6.50,0.303970,0.231915,0.072055
196,6.53,0.302931,0.231109,0.071822
197,6.57,0.302129,0.230503,0.071625
198,6.60,0.302529,0.230788,0.071741
199,6.63,0.301602,0.230090,0.071512
200,6.67,0.302031,0.230486,0.071545
201,6.70,0.300772,0.229589,0.071184
202,6.73,0.301867,0.230417,0.071450
203,6.77,0.300139,0.229045,0.071094
204,6.80,0.300413,0.229275,0.071138
205,6.83,0.300322,0.229239,0.071083
206,6.87,0.300131,0.229103,0.071028
207,6.90,0.296577,0.226498,0.070079
208,6.93,0.267623,0.204766,0.062857
209,6.97,0.204596,0.157633,0.046963
210,7.00,0.105723,0.083862,0.021861
211,7.03,0.043644,0.036146,0.007498
212,7.07,0.039227,0.032567,0.006660
213,7.10,0.032328,0.027848,0.004479
214,7.13,0.038215,0.031218,0.006997
215,7.17,0.038274,0.031897,0.006377
216,7.20,0.035628,0.029682,0.005946
217,7.23,0.039279,0.032354,0.006926
218,7.27,0.086430,0.069109,0.017321
219,7.30,0.188032,0.145233,0.042800
220,7.33,0.216864,0.166976,0.049889
221,7.37,0.248513,0.190626,0.057886
222,7.40,0.259534,0.198853,0.060681
223,7.43,0.267111,0.204514,0.062596
224,7.47,0.273133,0.208981,0.064152
225,7.50,0.280903,0.214737,0.066166
226,7.53,0.285063,0.217832,0.067231
227,7.57,0.287115,0.219429,0.067686
228,7.60,0.289909,0.221476,0.068433
229,7.63,0.290342,0.221802,0.068540
230,7.66,0.287453,0.219697,0.067757
231,7.70,0.287075,0.219404,0.067671
232,7.73,0.289625,0.221326,0.068299
233,7.76,0.290269,0.221737,0.068533
234,7.80,0.290888,0.222192,0.068695
235,7.83,0.292289,0.223238,0.069051
236,7.86,0.289335,0.221128,0.068207
237,7.90,0.290129,0.221734,0.068395
238,7.93,0.293772,0.224400,0.069372
239,7.96,0.292446,0.223391,0.069055
240,8.00,0.290812,0.222169,0.068643
241,8.03,0.291515,0.222624,0.068891
242,8.06,0.292820,0.223679,0.069141
243,8.10,0.290090,0.221755,0.068335
244,8.13,0.293042,0.223864,0.069178
245,8.16,0.291553,0.222751,0.068802
246,8.20,0.290861,0.222339,0.068522
247,8.23,0.294170,0.224716,0.069454
248,8.26,0.294118,0.224708,0.069410
249,8.30,0.293441,0.224245,0.069196
250,8.33,0.294941,0.225297,0.069643
251,8.36,0.294653,0.225121,0.069532
252,8.40,0.295556,0.225781,0.069775
253,8.43,0.295482,0.225682,0.069800
254,8.46,0.295234,0.225553,0.069681
255,8.50,0.292713,0.223631,0.069082
256,8.53,0.265155,0.203038,0.062117
257,8.56,0.199962,0.154408,0.045554
258,8.60,0.036339,0.032004,0.004335
259,8.63,0.039508,0.033362,0.006145
260,8.66,0.041182,0.034491,0.006691
