Muestra_ID,Real,Predicho,Acierto,Confianza
1484,P3,P3,1,0.54
1441,P3,P3,1,0.6333333333333333
1791,P4,P4,1,0.68
21,P1,P1,1,0.84
957,P2,P2,1,0.5533333333333333
70,P1,P1,1,0.97
916,P2,P2,1,0.4166666666666667
1967,P5,P5,1,0.87
799,P2,P4,0,0.59
1945,P5,P5,1,0.6966666666666667
1790,P4,P4,1,0.56
2049,P5,P5,1,0.9333333333333333
1485,P3,P3,1,0.53
63,P1,P1,1,0.9933333333333333
54,P1,P1,1,0.9866666666666667
1898,P4,P4,1,0.9766666666666667
1781,P4,P4,1,0.79
1929,P5,P5,1,0.7033333333333334
2034,P5,P5,1,0.9533333333333334
1548,P3,P3,1,0.8033333333333333
149,P1,P1,1,0.7166666666666667
2064,P5,P5,1,0.91
1837,P4,P4,1,0.9166666666666666
1,P1,P1,1,0.5633333333333334
930,P2,P2,1,0.8366666666666667
57,P1,P1,1,0.9
1523,P3,P3,1,0.9466666666666667
43,P1,P1,1,0.9633333333333334
1495,P3,P3,1,0.5866666666666667
2017,P5,P5,1,0.9733333333333334
1534,P3,P5,0,0.5566666666666666
1918,P5,P5,1,0.98
1769,P4,P4,1,0.93
2065,P5,P5,1,0.9766666666666667
129,P1,P1,1,0.7533333333333333
1971,P5,P5,1,0.74
58,P1,P1,1,0.97
921,P2,P2,1,0.9666666666666667
860,P2,P2,1,0.5
837,P2,P5,0,0.5566666666666666
1990,P5,P5,1,0.6066666666666667
2007,P5,P5,1,0.43
1761,P4,P5,0,0.5633333333333334
1571,P3,P3,1,0.95
936,P2,P2,1,0.9233333333333333
48,P1,P1,1,0.99
857,P2,P2,1,0.8366666666666667
1801,P4,P4,1,0.9266666666666666
842,P2,P2,1,0.74
1866,P4,P4,1,0.6666666666666666
1904,P4,P4,1,0.97
106,P1,P1,1,0.9933333333333333
950,P2,P1,0,0.8766666666666667
2071,P5,P5,1,0.6
130,P1,P1,1,0.64
1527,P3,P3,1,0.5766666666666667
107,P1,P1,1,0.9966666666666667
1825,P4,P4,1,0.8733333333333333
2068,P5,P5,1,0.8233333333333334
826,P2,P2,1,0.67
941,P2,P2,1,0.82
99,P1,P1,1,0.9866666666666667
1443,P3,P3,1,0.8566666666666667
1564,P3,P3,1,0.6066666666666667
2051,P5,P5,1,0.7733333333333333
1469,P3,P3,1,0.7866666666666666
1773,P4,P4,1,0.94
919,P2,P2,1,0.8533333333333334
1458,P3,P3,1,0.87
929,P2,P2,1,0.9433333333333334
1759,P4,P4,1,0.68
1541,P3,P3,1,0.93
