configuracion,num_clases,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
5_sujetos,5,0.9291666666666667,0.9309423825732621,0.9291666666666668,0.9279360893224429,0.9309423825732621,0.9291666666666667,0.9279360893224429
10_sujetos,10,0.9229166666666667,0.925340214108413,0.9229166666666666,0.9224385970498596,0.925340214108413,0.9229166666666667,0.9224385970498598
todos_los_sujetos,14,0.8258928571428571,0.8250921791347038,0.8258928571428571,0.8226188984294636,0.8250921791347038,0.8258928571428571,0.8226188984294635
