Muestra_ID,Real,Predicho,Acierto,Confianza
1972,P10,P5,0,0.29
129,P1,P1,1,0.8
1750,P8,P8,1,0.51
243,P2,P2,1,0.6166666666666667
140,P1,P1,1,0.8866666666666667
318,P2,P2,1,0.7033333333333334
966,P5,P5,1,0.5866666666666667
1090,P5,P5,1,0.5466666666666666
1002,P5,P5,1,0.4533333333333333
1630,P8,P8,1,0.97
646,P4,P4,1,0.8566666666666667
1092,P5,P5,1,0.4066666666666667
2073,P10,P10,1,0.5
54,P1,P1,1,0.7233333333333334
798,P4,P1,0,0.43333333333333335
2010,P10,P10,1,0.35333333333333333
1472,P7,P7,1,0.87
1626,P8,P8,1,0.79
1400,P6,P6,1,0.49666666666666665
1947,P10,P6,0,0.3433333333333333
103,P1,P1,1,0.9033333333333333
37,P1,P1,1,0.9633333333333334
641,P4,P4,1,0.57
1791,P9,P9,1,0.5233333333333333
1688,P8,P8,1,0.4166666666666667
673,P4,P4,1,0.35
2048,P10,P10,1,0.7633333333333333
1356,P6,P6,1,0.46
21,P1,P1,1,0.5066666666666667
1450,P7,P7,1,0.9933333333333333
1515,P7,P7,1,0.94
999,P5,P5,1,0.6233333333333333
1048,P5,P5,1,0.54
593,P3,P3,1,0.7333333333333333
672,P4,P6,0,0.31
991,P5,P5,1,0.4533333333333333
1584,P7,P7,1,0.87
574,P3,P3,1,0.3433333333333333
706,P4,P4,1,0.73
311,P2,P2,1,0.5366666666666666
1080,P5,P5,1,0.61
483,P3,P3,1,0.91
1429,P6,P6,1,0.7766666666666666
1585,P7,P7,1,0.9033333333333333
89,P1,P1,1,0.57
1115,P5,P5,1,0.76
1348,P6,P6,1,0.35333333333333333
777,P4,P4,1,0.5333333333333333
514,P3,P3,1,0.7533333333333333
1865,P9,P9,1,0.7733333333333333
1532,P7,P7,1,0.7366666666666667
1416,P6,P6,1,0.6
1707,P8,P8,1,0.88
1019,P5,P5,1,0.5566666666666666
1640,P8,P8,1,0.3
1530,P7,P7,1,0.7066666666666667
1742,P8,P8,1,0.6433333333333333
50,P1,P1,1,0.5166666666666667
1632,P8,P7,0,0.34
58,P1,P1,1,0.66
485,P3,P3,1,0.89
2071,P10,P10,1,0.5633333333333334
972,P5,P5,1,0.5933333333333334
638,P3,P3,1,0.38
665,P4,P4,1,0.5933333333333334
110,P1,P1,1,0.9866666666666667
674,P4,P4,1,0.67
13,P1,P1,1,0.85
647,P4,P4,1,0.8233333333333334
1908,P9,P9,1,0.3933333333333333
1942,P10,P10,1,0.44
1399,P6,P6,1,0.86
619,P3,P3,1,0.73
215,P2,P2,1,0.63
1279,P6,P10,0,0.4166666666666667
3,P1,P1,1,0.5466666666666666
595,P3,P3,1,0.8366666666666667
121,P1,P1,1,0.5533333333333333
507,P3,P3,1,0.6133333333333333
113,P1,P1,1,0.7666666666666667
1933,P10,P10,1,0.7233333333333334
1927,P10,P10,1,0.5633333333333334
1372,P6,P6,1,0.3566666666666667
1920,P10,P10,1,0.6533333333333333
1848,P9,P9,1,0.8766666666666667
763,P4,P4,1,0.48
585,P3,P3,1,0.6966666666666667
1885,P9,P9,1,0.7633333333333333
1816,P9,P9,1,0.64
2069,P10,P10,1,0.68
151,P1,P1,1,0.98
533,P3,P3,1,0.91
2013,P10,P10,1,0.3566666666666667
1411,P6,P6,1,0.44333333333333336
1396,P6,P6,1,0.46
1509,P7,P7,1,0.3566666666666667
1050,P5,P5,1,0.55
502,P3,P3,1,0.71
1014,P5,P5,1,0.5933333333333334
1932,P10,P2,0,0.37666666666666665
246,P2,P2,1,0.5966666666666667
301,P2,P2,1,0.7066666666666667
280,P2,P2,1,0.6966666666666667
685,P4,P4,1,0.5266666666666666
148,P1,P1,1,0.7033333333333334
1985,P10,P10,1,0.47
1370,P6,P6,1,0.7166666666666667
1430,P6,P6,1,0.6733333333333333
1021,P5,P5,1,0.35
1614,P8,P8,1,0.5466666666666666
234,P2,P2,1,0.85
1410,P6,P6,1,0.33
1575,P7,P7,1,0.97
1290,P6,P6,1,0.6266666666666667
978,P5,P5,1,0.31333333333333335
99,P1,P1,1,0.94
606,P3,P3,1,0.31333333333333335
2076,P10,P10,1,0.36666666666666664
1946,P10,P6,0,0.43333333333333335
1746,P8,P8,1,0.39666666666666667
1440,P7,P7,1,0.56
14,P1,P1,1,0.95
1358,P6,P6,1,0.5566666666666666
282,P2,P2,1,0.7933333333333333
683,P4,P4,1,0.8233333333333334
2043,P10,P6,0,0.29
203,P2,P2,1,0.7933333333333333
497,P3,P3,1,0.86
1506,P7,P7,1,0.6633333333333333
296,P2,P2,1,0.7133333333333334
1827,P9,P9,1,0.85
1005,P5,P8,0,0.73
1654,P8,P8,1,0.7666666666666667
1060,P5,P5,1,0.7333333333333333
289,P2,P2,1,0.6333333333333333
1660,P8,P8,1,0.48
136,P1,P1,1,0.78
1428,P6,P6,1,0.4066666666666667
159,P1,P1,1,0.81
2044,P10,P10,1,0.45666666666666667
1326,P6,P6,1,0.43
2054,P10,P10,1,0.42
569,P3,P3,1,0.8733333333333333
1930,P10,P10,1,0.7866666666666666
161,P2,P2,1,0.9
1497,P7,P7,1,0.8033333333333333
218,P2,P2,1,0.8966666666666666
1894,P9,P9,1,0.6733333333333333
668,P4,P4,1,0.5833333333333334
516,P3,P3,1,0.93
506,P3,P3,1,0.5266666666666666
1879,P9,P9,1,0.96
302,P2,P2,1,0.8066666666666666
1786,P9,P9,1,0.49666666666666665
613,P3,P3,1,0.87
63,P1,P1,1,0.7666666666666667
70,P1,P1,1,0.9266666666666666
91,P1,P1,1,0.94
1537,P7,P7,1,0.89
260,P2,P2,1,0.8166666666666667
1734,P8,P8,1,0.5433333333333333
2060,P10,P4,0,0.21333333333333335
630,P3,P3,1,0.56
17,P1,P1,1,0.9533333333333334
779,P4,P4,1,0.8066666666666666
1963,P10,P6,0,0.35333333333333333
682,P4,P4,1,0.7866666666666666
116,P1,P1,1,0.84
48,P1,P1,1,0.6366666666666667
1621,P8,P8,1,0.8
1951,P10,P10,1,0.7833333333333333
2011,P10,P10,1,0.36666666666666664
162,P2,P2,1,0.9233333333333333
1542,P7,P7,1,0.97
288,P2,P2,1,0.48333333333333334
1571,P7,P7,1,0.8333333333333334
1638,P8,P8,1,0.8933333333333333
607,P3,P3,1,0.4166666666666667
1608,P8,P8,1,0.6766666666666666
1931,P10,P2,0,0.29
1736,P8,P8,1,0.7733333333333333
1733,P8,P8,1,0.94
1557,P7,P7,1,0.9833333333333333
961,P5,P5,1,0.7433333333333333
251,P2,P2,1,0.7066666666666667
496,P3,P3,1,0.8533333333333334
1966,P10,P10,1,0.9433333333333334
275,P2,P2,1,0.6866666666666666
1637,P8,P8,1,0.9733333333333334
