Muestra_ID,Real,Predicho,Acierto,Confianza,Configuracion
1920,P5,P5,1,0.9833333333333333,5 sujetos
1847,P4,P4,1,0.9166666666666666,5 sujetos
911,P2,P2,1,0.8633333333333333,5 sujetos
1887,P4,P4,1,0.75,5 sujetos
928,P2,P2,1,0.6833333333333333,5 sujetos
1800,P4,P4,1,0.8866666666666667,5 sujetos
125,P1,P1,1,0.98,5 sujetos
899,P2,P4,0,0.5733333333333334,5 sujetos
1472,P3,P3,1,0.9833333333333333,5 sujetos
825,P2,P2,1,0.83,5 sujetos
2066,P5,P5,1,0.9233333333333333,5 sujetos
1826,P4,P4,1,0.97,5 sujetos
1532,P3,P3,1,0.72,5 sujetos
1934,P5,P5,1,0.97,5 sujetos
2009,P5,P5,1,0.7566666666666667,5 sujetos
88,P1,P1,1,0.57,5 sujetos
20,P1,P1,1,0.9333333333333333,5 sujetos
1838,P4,P4,1,0.7333333333333333,5 sujetos
1530,P3,P3,1,0.95,5 sujetos
932,P2,P2,1,0.4633333333333333,5 sujetos
72,P1,P1,1,0.92,5 sujetos
1913,P4,P4,1,0.98,5 sujetos
13,P1,P1,1,0.9,5 sujetos
37,P1,P1,1,0.9866666666666667,5 sujetos
2058,P5,P5,1,0.7133333333333334,5 sujetos
1561,P3,P3,1,0.9833333333333333,5 sujetos
1792,P4,P4,1,0.95,5 sujetos
1857,P4,P4,1,0.9233333333333333,5 sujetos
1467,P3,P3,1,0.87,5 sujetos
1872,P4,P4,1,0.8633333333333333,5 sujetos
906,P2,P2,1,0.9433333333333334,5 sujetos
110,P1,P1,1,0.9933333333333333,5 sujetos
1580,P3,P3,1,0.8166666666666667,5 sujetos
140,P1,P1,1,0.9133333333333333,5 sujetos
1961,P5,P5,1,0.7533333333333333,5 sujetos
1858,P4,P4,1,0.89,5 sujetos
52,P1,P1,1,0.9666666666666667,5 sujetos
1964,P5,P2,0,0.4533333333333333,5 sujetos
1966,P5,P5,1,0.9566666666666667,5 sujetos
102,P1,P1,1,0.99,5 sujetos
1997,P5,P5,1,0.97,5 sujetos
1862,P4,P4,1,0.9366666666666666,5 sujetos
1765,P4,P4,1,0.9733333333333334,5 sujetos
1917,P4,P4,1,0.7533333333333333,5 sujetos
2030,P5,P5,1,0.9066666666666666,5 sujetos
1503,P3,P3,1,0.7166666666666667,5 sujetos
1832,P4,P4,1,0.8933333333333333,5 sujetos
1786,P4,P4,1,0.8933333333333333,5 sujetos
1455,P3,P3,1,0.9033333333333333,5 sujetos
914,P2,P2,1,0.9633333333333334,5 sujetos
2047,P5,P5,1,0.96,5 sujetos
940,P2,P2,1,0.6533333333333333,5 sujetos
1881,P4,P4,1,0.95,5 sujetos
1462,P3,P3,1,0.8166666666666667,5 sujetos
1498,P3,P3,1,0.74,5 sujetos
147,P1,P1,1,0.8166666666666667,5 sujetos
1565,P3,P2,0,0.5033333333333333,5 sujetos
935,P2,P2,1,0.55,5 sujetos
59,P1,P1,1,1.0,5 sujetos
1584,P3,P3,1,0.8933333333333333,5 sujetos
927,P2,P2,1,0.85,5 sujetos
1950,P5,P5,1,0.96,5 sujetos
1764,P4,P4,1,0.9833333333333333,5 sujetos
1892,P4,P4,1,0.76,5 sujetos
3,P1,P1,1,0.59,5 sujetos
8,P1,P1,1,0.8666666666666667,5 sujetos
157,P1,P1,1,0.9633333333333334,5 sujetos
1925,P5,P5,1,0.79,5 sujetos
14,P1,P1,1,0.9633333333333334,5 sujetos
1577,P3,P3,1,0.86,5 sujetos
1915,P4,P4,1,0.79,5 sujetos
800,P2,P4,0,0.56,5 sujetos
1597,P3,P3,1,0.85,5 sujetos
2039,P5,P5,1,0.7,5 sujetos
873,P2,P2,1,0.8933333333333333,5 sujetos
1975,P5,P5,1,0.62,5 sujetos
1981,P5,P5,1,0.96,5 sujetos
1980,P5,P5,1,0.66,5 sujetos
1504,P3,P3,1,0.7066666666666667,5 sujetos
801,P2,P1,0,0.79,5 sujetos
1815,P4,P4,1,0.9,5 sujetos
148,P1,P1,1,0.8833333333333333,5 sujetos
947,P2,P2,1,0.36333333333333334,5 sujetos
901,P2,P2,1,0.66,5 sujetos
879,P2,P2,1,0.5233333333333333,5 sujetos
1931,P5,P5,1,0.38,5 sujetos
71,P1,P1,1,0.9866666666666667,5 sujetos
885,P2,P2,1,0.4866666666666667,5 sujetos
949,P2,P1,0,0.9233333333333333,5 sujetos
894,P2,P2,1,0.88,5 sujetos
17,P1,P1,1,0.9833333333333333,5 sujetos
1895,P4,P4,1,0.9733333333333334,5 sujetos
920,P2,P2,1,0.9233333333333333,5 sujetos
1853,P4,P4,1,0.7433333333333333,5 sujetos
121,P1,P1,1,0.62,5 sujetos
1543,P3,P3,1,0.7433333333333333,5 sujetos
143,P1,P1,1,0.9766666666666667,5 sujetos
113,P1,P1,1,0.6633333333333333,5 sujetos
1588,P3,P3,1,0.8533333333333334,5 sujetos
1596,P3,P3,1,0.86,5 sujetos
2073,P5,P5,1,0.75,5 sujetos
1885,P4,P4,1,0.7766666666666666,5 sujetos
1824,P4,P4,1,0.8933333333333333,5 sujetos
1551,P3,P3,1,0.81,5 sujetos
2035,P5,P5,1,0.7566666666666667,5 sujetos
1454,P3,P3,1,0.97,5 sujetos
153,P1,P1,1,0.7466666666666667,5 sujetos
103,P1,P1,1,0.9866666666666667,5 sujetos
50,P1,P1,1,0.5466666666666666,5 sujetos
87,P1,P1,1,0.8233333333333334,5 sujetos
1460,P3,P3,1,0.9966666666666667,5 sujetos
1822,P4,P4,1,0.8266666666666667,5 sujetos
938,P2,P2,1,0.93,5 sujetos
1991,P5,P5,1,0.45,5 sujetos
1438,P7,P7,1,0.5666666666666667,10 sujetos
1814,P9,P9,1,0.8033333333333333,10 sujetos
1649,P8,P8,1,0.6766666666666666,10 sujetos
1109,P5,P5,1,0.5333333333333333,10 sujetos
707,P4,P4,1,0.44333333333333336,10 sujetos
1474,P7,P7,1,0.82,10 sujetos
576,P3,P3,1,0.69,10 sujetos
262,P2,P2,1,0.42,10 sujetos
1454,P7,P7,1,0.8866666666666667,10 sujetos
1007,P5,P5,1,0.2966666666666667,10 sujetos
704,P4,P6,0,0.3433333333333333,10 sujetos
52,P1,P1,1,0.8733333333333333,10 sujetos
1781,P9,P9,1,0.6366666666666667,10 sujetos
1650,P8,P8,1,0.8166666666666667,10 sujetos
1860,P9,P9,1,0.6733333333333333,10 sujetos
1866,P9,P9,1,0.38333333333333336,10 sujetos
1648,P8,P8,1,0.65,10 sujetos
8,P1,P1,1,0.8366666666666667,10 sujetos
1771,P9,P9,1,0.64,10 sujetos
1672,P8,P8,1,0.4666666666666667,10 sujetos
525,P3,P3,1,0.9233333333333333,10 sujetos
213,P2,P2,1,0.36333333333333334,10 sujetos
1113,P5,P5,1,0.5433333333333333,10 sujetos
72,P1,P1,1,0.79,10 sujetos
2001,P10,P10,1,0.84,10 sujetos
1334,P6,P6,1,0.6433333333333333,10 sujetos
83,P1,P1,1,0.45,10 sujetos
1426,P6,P9,0,0.32,10 sujetos
651,P4,P4,1,0.7533333333333333,10 sujetos
783,P4,P2,0,0.4533333333333333,10 sujetos
1863,P9,P9,1,0.8333333333333334,10 sujetos
776,P4,P4,1,0.7833333333333333,10 sujetos
1016,P5,P5,1,0.5266666666666666,10 sujetos
107,P1,P1,1,0.9166666666666666,10 sujetos
1856,P9,P9,1,0.8466666666666667,10 sujetos
744,P4,P4,1,0.48333333333333334,10 sujetos
1110,P5,P8,0,0.4066666666666667,10 sujetos
1538,P7,P7,1,0.37333333333333335,10 sujetos
293,P2,P2,1,0.7633333333333333,10 sujetos
1833,P9,P9,1,0.7566666666666667,10 sujetos
1761,P9,P10,0,0.6166666666666667,10 sujetos
625,P3,P3,1,0.8166666666666667,10 sujetos
1748,P8,P8,1,0.6866666666666666,10 sujetos
1782,P9,P9,1,0.5733333333333334,10 sujetos
1643,P8,P8,1,0.5366666666666666,10 sujetos
1422,P6,P6,1,0.36666666666666664,10 sujetos
1475,P7,P7,1,0.7566666666666667,10 sujetos
1512,P7,P7,1,0.5266666666666666,10 sujetos
1598,P8,P8,1,0.66,10 sujetos
1576,P7,P7,1,0.75,10 sujetos
88,P1,P1,1,0.6033333333333334,10 sujetos
1877,P9,P9,1,0.8333333333333334,10 sujetos
753,P4,P4,1,0.9166666666666666,10 sujetos
528,P3,P3,1,0.9566666666666667,10 sujetos
2038,P10,P10,1,0.6233333333333333,10 sujetos
1382,P6,P6,1,0.5666666666666667,10 sujetos
1058,P5,P5,1,0.45666666666666667,10 sujetos
974,P5,P5,1,0.39,10 sujetos
309,P2,P2,1,0.74,10 sujetos
1042,P5,P5,1,0.45666666666666667,10 sujetos
655,P4,P1,0,0.5066666666666667,10 sujetos
1373,P6,P6,1,0.29333333333333333,10 sujetos
1371,P6,P6,1,0.59,10 sujetos
1341,P6,P4,0,0.37666666666666665,10 sujetos
1651,P8,P8,1,0.92,10 sujetos
1501,P7,P1,0,0.30666666666666664,10 sujetos
1843,P9,P9,1,0.73,10 sujetos
1982,P10,P10,1,0.7166666666666667,10 sujetos
565,P3,P3,1,0.8966666666666666,10 sujetos
1393,P6,P6,1,0.45,10 sujetos
545,P3,P3,1,0.8933333333333333,10 sujetos
1566,P7,P10,0,0.25666666666666665,10 sujetos
2058,P10,P10,1,0.54,10 sujetos
1531,P7,P7,1,0.6333333333333333,10 sujetos
1554,P7,P7,1,0.9166666666666666,10 sujetos
1763,P9,P9,1,0.6566666666666666,10 sujetos
732,P4,P4,1,0.8333333333333334,10 sujetos
1935,P10,P10,1,0.89,10 sujetos
1339,P6,P6,1,0.51,10 sujetos
157,P1,P1,1,0.8833333333333333,10 sujetos
1502,P7,P7,1,0.44666666666666666,10 sujetos
1305,P6,P6,1,0.54,10 sujetos
1844,P9,P6,0,0.32666666666666666,10 sujetos
20,P1,P1,1,0.65,10 sujetos
240,P2,P2,1,0.8066666666666666,10 sujetos
1032,P5,P5,1,0.37666666666666665,10 sujetos
1303,P6,P6,1,0.35333333333333333,10 sujetos
187,P2,P2,1,0.7633333333333333,10 sujetos
1567,P7,P7,1,0.42,10 sujetos
1563,P7,P7,1,0.36,10 sujetos
1283,P6,P6,1,0.6333333333333333,10 sujetos
267,P2,P2,1,0.5166666666666667,10 sujetos
1486,P7,P7,1,0.47,10 sujetos
1038,P5,P5,1,0.39666666666666667,10 sujetos
719,P4,P4,1,0.6533333333333333,10 sujetos
1979,P10,P6,0,0.24,10 sujetos
1075,P5,P5,1,0.49333333333333335,10 sujetos
583,P3,P3,1,0.6933333333333334,10 sujetos
739,P4,P4,1,0.71,10 sujetos
748,P4,P4,1,0.8466666666666667,10 sujetos
1389,P6,P6,1,0.5633333333333334,10 sujetos
256,P2,P2,1,0.7333333333333333,10 sujetos
1685,P8,P8,1,0.83,10 sujetos
291,P2,P2,1,0.7733333333333333,10 sujetos
959,P5,P5,1,0.49333333333333335,10 sujetos
640,P4,P8,0,0.5533333333333333,10 sujetos
1756,P8,P8,1,0.64,10 sujetos
1300,P6,P6,1,0.59,10 sujetos
1832,P9,P9,1,0.7533333333333333,10 sujetos
1635,P8,P8,1,0.7366666666666667,10 sujetos
297,P2,P2,1,0.6866666666666666,10 sujetos
509,P3,P3,1,0.42333333333333334,10 sujetos
1018,P5,P5,1,0.34,10 sujetos
1698,P8,P8,1,0.9266666666666666,10 sujetos
2031,P10,P10,1,0.6833333333333333,10 sujetos
572,P3,P3,1,0.45,10 sujetos
1364,P6,P6,1,0.36666666666666664,10 sujetos
527,P3,P3,1,0.7233333333333334,10 sujetos
211,P2,P2,1,0.49,10 sujetos
74,P1,P1,1,0.9233333333333333,10 sujetos
626,P3,P3,1,0.8933333333333333,10 sujetos
1668,P8,P8,1,0.7666666666666667,10 sujetos
272,P2,P2,1,0.5966666666666667,10 sujetos
143,P1,P1,1,0.93,10 sujetos
1329,P6,P6,1,0.6866666666666666,10 sujetos
125,P1,P1,1,0.8566666666666667,10 sujetos
1031,P5,P5,1,0.85,10 sujetos
617,P3,P3,1,0.7266666666666667,10 sujetos
308,P2,P2,1,0.7566666666666667,10 sujetos
1111,P5,P5,1,0.4666666666666667,10 sujetos
59,P1,P1,1,0.6666666666666666,10 sujetos
287,P2,P2,1,0.6566666666666666,10 sujetos
1076,P5,P5,1,0.41333333333333333,10 sujetos
2066,P10,P10,1,0.7466666666666667,10 sujetos
1903,P9,P9,1,0.5066666666666667,10 sujetos
2037,P10,P10,1,0.38666666666666666,10 sujetos
986,P5,P5,1,0.6466666666666666,10 sujetos
1922,P10,P10,1,0.73,10 sujetos
1712,P8,P8,1,0.8133333333333334,10 sujetos
2074,P10,P10,1,0.49333333333333335,10 sujetos
729,P4,P4,1,0.7733333333333333,10 sujetos
1104,P5,P5,1,0.79,10 sujetos
2072,P10,P10,1,0.56,10 sujetos
1656,P8,P2,0,0.4,10 sujetos
767,P4,P4,1,0.5833333333333334,10 sujetos
1859,P9,P9,1,0.7866666666666666,10 sujetos
504,P3,P3,1,0.7466666666666667,10 sujetos
210,P2,P2,1,0.5933333333333334,10 sujetos
1500,P7,P7,1,0.26666666666666666,10 sujetos
1323,P6,P6,1,0.45666666666666667,10 sujetos
130,P1,P1,1,0.5966666666666667,10 sujetos
714,P4,P4,1,0.7033333333333334,10 sujetos
1652,P8,P8,1,0.52,10 sujetos
1304,P6,P6,1,0.51,10 sujetos
1725,P8,P8,1,0.6933333333333334,10 sujetos
1784,P9,P9,1,0.75,10 sujetos
1687,P8,P8,1,0.6166666666666667,10 sujetos
1499,P7,P7,1,0.59,10 sujetos
149,P1,P1,1,0.46,10 sujetos
713,P4,P4,1,0.61,10 sujetos
796,P4,P4,1,0.6533333333333333,10 sujetos
1359,P6,P9,0,0.58,10 sujetos
290,P2,P2,1,0.72,10 sujetos
735,P4,P4,1,0.7333333333333333,10 sujetos
1622,P8,P8,1,0.5566666666666666,10 sujetos
43,P1,P1,1,0.9266666666666666,10 sujetos
1921,P10,P10,1,0.6633333333333333,10 sujetos
1788,P9,P9,1,0.7266666666666667,10 sujetos
1321,P6,P6,1,0.73,10 sujetos
1374,P6,P6,1,0.53,10 sujetos
1059,P5,P5,1,0.6333333333333333,10 sujetos
1536,P7,P7,1,0.87,10 sujetos
1596,P7,P7,1,0.9533333333333334,10 sujetos
1448,P7,P7,1,0.91,10 sujetos
1325,P6,P6,1,0.52,10 sujetos
1972,P10,P5,0,0.29,10 sujetos
129,P1,P1,1,0.8,10 sujetos
1750,P8,P8,1,0.51,10 sujetos
243,P2,P2,1,0.6166666666666667,10 sujetos
140,P1,P1,1,0.8866666666666667,10 sujetos
318,P2,P2,1,0.7033333333333334,10 sujetos
966,P5,P5,1,0.5866666666666667,10 sujetos
1090,P5,P5,1,0.5466666666666666,10 sujetos
1002,P5,P5,1,0.4533333333333333,10 sujetos
1630,P8,P8,1,0.97,10 sujetos
646,P4,P4,1,0.8566666666666667,10 sujetos
1092,P5,P5,1,0.4066666666666667,10 sujetos
2073,P10,P10,1,0.5,10 sujetos
54,P1,P1,1,0.7233333333333334,10 sujetos
798,P4,P1,0,0.43333333333333335,10 sujetos
2010,P10,P10,1,0.35333333333333333,10 sujetos
1472,P7,P7,1,0.87,10 sujetos
1626,P8,P8,1,0.79,10 sujetos
1400,P6,P6,1,0.49666666666666665,10 sujetos
1947,P10,P6,0,0.3433333333333333,10 sujetos
103,P1,P1,1,0.9033333333333333,10 sujetos
37,P1,P1,1,0.9633333333333334,10 sujetos
641,P4,P4,1,0.57,10 sujetos
1791,P9,P9,1,0.5233333333333333,10 sujetos
1688,P8,P8,1,0.4166666666666667,10 sujetos
673,P4,P4,1,0.35,10 sujetos
2048,P10,P10,1,0.7633333333333333,10 sujetos
1356,P6,P6,1,0.46,10 sujetos
21,P1,P1,1,0.5066666666666667,10 sujetos
1450,P7,P7,1,0.9933333333333333,10 sujetos
1515,P7,P7,1,0.94,10 sujetos
999,P5,P5,1,0.6233333333333333,10 sujetos
1048,P5,P5,1,0.54,10 sujetos
593,P3,P3,1,0.7333333333333333,10 sujetos
672,P4,P6,0,0.31,10 sujetos
991,P5,P5,1,0.4533333333333333,10 sujetos
1584,P7,P7,1,0.87,10 sujetos
574,P3,P3,1,0.3433333333333333,10 sujetos
706,P4,P4,1,0.73,10 sujetos
311,P2,P2,1,0.5366666666666666,10 sujetos
1080,P5,P5,1,0.61,10 sujetos
483,P3,P3,1,0.91,10 sujetos
1429,P6,P6,1,0.7766666666666666,10 sujetos
1585,P7,P7,1,0.9033333333333333,10 sujetos
89,P1,P1,1,0.57,10 sujetos
1115,P5,P5,1,0.76,10 sujetos
1348,P6,P6,1,0.35333333333333333,10 sujetos
777,P4,P4,1,0.5333333333333333,10 sujetos
514,P3,P3,1,0.7533333333333333,10 sujetos
1865,P9,P9,1,0.7733333333333333,10 sujetos
1532,P7,P7,1,0.7366666666666667,10 sujetos
1416,P6,P6,1,0.6,10 sujetos
1707,P8,P8,1,0.88,10 sujetos
1019,P5,P5,1,0.5566666666666666,10 sujetos
1640,P8,P8,1,0.3,10 sujetos
1530,P7,P7,1,0.7066666666666667,10 sujetos
1742,P8,P8,1,0.6433333333333333,10 sujetos
50,P1,P1,1,0.5166666666666667,10 sujetos
1632,P8,P7,0,0.34,10 sujetos
58,P1,P1,1,0.66,10 sujetos
485,P3,P3,1,0.89,10 sujetos
2071,P10,P10,1,0.5633333333333334,10 sujetos
972,P5,P5,1,0.5933333333333334,10 sujetos
638,P3,P3,1,0.38,10 sujetos
665,P4,P4,1,0.5933333333333334,10 sujetos
110,P1,P1,1,0.9866666666666667,10 sujetos
674,P4,P4,1,0.67,10 sujetos
13,P1,P1,1,0.85,10 sujetos
647,P4,P4,1,0.8233333333333334,10 sujetos
1908,P9,P9,1,0.3933333333333333,10 sujetos
1942,P10,P10,1,0.44,10 sujetos
1399,P6,P6,1,0.86,10 sujetos
619,P3,P3,1,0.73,10 sujetos
215,P2,P2,1,0.63,10 sujetos
1279,P6,P10,0,0.4166666666666667,10 sujetos
3,P1,P1,1,0.5466666666666666,10 sujetos
595,P3,P3,1,0.8366666666666667,10 sujetos
121,P1,P1,1,0.5533333333333333,10 sujetos
507,P3,P3,1,0.6133333333333333,10 sujetos
113,P1,P1,1,0.7666666666666667,10 sujetos
1933,P10,P10,1,0.7233333333333334,10 sujetos
1927,P10,P10,1,0.5633333333333334,10 sujetos
1372,P6,P6,1,0.3566666666666667,10 sujetos
1920,P10,P10,1,0.6533333333333333,10 sujetos
1848,P9,P9,1,0.8766666666666667,10 sujetos
763,P4,P4,1,0.48,10 sujetos
585,P3,P3,1,0.6966666666666667,10 sujetos
1885,P9,P9,1,0.7633333333333333,10 sujetos
1816,P9,P9,1,0.64,10 sujetos
2069,P10,P10,1,0.68,10 sujetos
151,P1,P1,1,0.98,10 sujetos
533,P3,P3,1,0.91,10 sujetos
2013,P10,P10,1,0.3566666666666667,10 sujetos
1411,P6,P6,1,0.44333333333333336,10 sujetos
1396,P6,P6,1,0.46,10 sujetos
1509,P7,P7,1,0.3566666666666667,10 sujetos
1050,P5,P5,1,0.55,10 sujetos
502,P3,P3,1,0.71,10 sujetos
1014,P5,P5,1,0.5933333333333334,10 sujetos
1932,P10,P2,0,0.37666666666666665,10 sujetos
246,P2,P2,1,0.5966666666666667,10 sujetos
301,P2,P2,1,0.7066666666666667,10 sujetos
280,P2,P2,1,0.6966666666666667,10 sujetos
685,P4,P4,1,0.5266666666666666,10 sujetos
148,P1,P1,1,0.7033333333333334,10 sujetos
1985,P10,P10,1,0.47,10 sujetos
1370,P6,P6,1,0.7166666666666667,10 sujetos
1430,P6,P6,1,0.6733333333333333,10 sujetos
1021,P5,P5,1,0.35,10 sujetos
1614,P8,P8,1,0.5466666666666666,10 sujetos
234,P2,P2,1,0.85,10 sujetos
1410,P6,P6,1,0.33,10 sujetos
1575,P7,P7,1,0.97,10 sujetos
1290,P6,P6,1,0.6266666666666667,10 sujetos
978,P5,P5,1,0.31333333333333335,10 sujetos
99,P1,P1,1,0.94,10 sujetos
606,P3,P3,1,0.31333333333333335,10 sujetos
