video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,darkest_pixel_x,darkest_pixel_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
roygel_intento_1_ROI_640x480.mp4,36,1200.000,True,285.000,217.000,0.000,498.000,166.000,491,198,0.852000,0.204000,-0.482162,66.220,99.996,168.191,5101.0
roygel_intento_1_ROI_640x480.mp4,37,1233.333,True,286.000,217.000,0.000,500.000,168.000,520,173,0.856000,0.196000,-0.478381,66.194,98.750,169.722,4967.0
roygel_intento_1_ROI_640x480.mp4,38,1266.667,True,286.000,217.000,0.000,502.000,170.000,499,197,0.864000,0.188000,-0.467076,65.737,98.889,169.964,4954.5
roygel_intento_1_ROI_640x480.mp4,39,1300.000,True,286.000,217.000,0.000,504.000,171.000,505,202,0.872000,0.184000,-0.453608,65.448,98.769,169.734,4936.5
roygel_intento_1_ROI_640x480.mp4,40,1333.333,True,286.000,217.000,0.000,505.000,172.000,503,197,0.876000,0.180000,-0.447464,65.727,99.517,170.223,4983.5
roygel_intento_1_ROI_640x480.mp4,41,1366.667,True,287.000,217.000,0.000,505.000,170.000,523,202,0.872000,0.188000,-0.451965,66.353,100.005,169.014,5023.0
roygel_intento_1_ROI_640x480.mp4,42,1400.000,True,287.000,217.000,0.000,505.000,169.000,521,203,0.872000,0.192000,-0.450280,65.324,100.858,169.847,5037.0
roygel_intento_1_ROI_640x480.mp4,43,1433.333,True,288.000,217.000,0.000,504.000,168.000,521,203,0.864000,0.196000,-0.463776,65.562,100.712,169.364,4983.5
roygel_intento_1_ROI_640x480.mp4,44,1466.667,True,288.000,217.000,0.000,504.000,169.000,524,202,0.864000,0.192000,-0.465446,65.572,100.215,168.213,4988.5
roygel_intento_1_ROI_640x480.mp4,45,1500.000,True,288.000,217.000,0.000,507.000,173.000,530,210,0.876000,0.176000,-0.449052,60.560,94.492,171.680,4284.5
roygel_intento_1_ROI_640x480.mp4,46,1533.333,True,289.000,217.000,0.000,512.000,176.000,525,202,0.892000,0.164000,-0.421236,60.691,95.432,174.812,4389.5
roygel_intento_1_ROI_640x480.mp4,47,1566.667,True,289.000,217.000,0.000,516.000,179.000,523,198,0.908000,0.152000,-0.390425,60.621,93.250,173.573,4250.0
roygel_intento_1_ROI_640x480.mp4,48,1600.000,True,290.000,217.000,0.000,518.000,179.000,535,209,0.912000,0.152000,-0.380988,57.283,92.849,172.390,3941.5
roygel_intento_1_ROI_640x480.mp4,49,1633.333,True,290.000,217.000,0.000,523.000,180.000,537,205,0.932000,0.148000,-0.330866,49.317,85.398,172.392,3018.0
roygel_intento_1_ROI_640x480.mp4,50,1666.667,True,290.000,217.000,0.000,528.000,181.000,540,165,0.952000,0.144000,-0.270111,48.528,90.556,174.081,3158.0
roygel_intento_1_ROI_640x480.mp4,51,1700.000,True,291.000,217.000,0.000,532.000,182.000,544,165,0.964000,0.140000,-0.226062,49.125,89.037,174.216,3181.5
roygel_intento_1_ROI_640x480.mp4,52,1733.333,True,291.000,217.000,0.000,533.000,182.000,542,164,0.968000,0.140000,-0.208269,49.203,89.904,175.755,3255.5
roygel_intento_1_ROI_640x480.mp4,53,1766.667,True,291.000,217.000,0.000,530.000,181.000,530,165,0.956000,0.144000,-0.255593,41.543,80.459,179.152,2312.5
roygel_intento_1_ROI_640x480.mp4,54,1800.000,True,292.000,217.000,0.000,517.000,178.000,522,168,0.900000,0.156000,-0.407018,66.496,94.332,167.233,4738.0
roygel_intento_1_ROI_640x480.mp4,55,1833.333,True,292.000,216.000,0.000,504.000,176.000,522,164,0.848000,0.160000,-0.505268,65.567,96.002,170.837,4711.5
roygel_intento_1_ROI_640x480.mp4,56,1866.667,True,292.000,216.000,0.000,496.000,175.000,502,209,0.816000,0.164000,-0.554300,65.104,96.888,171.908,4831.5
roygel_intento_1_ROI_640x480.mp4,57,1900.000,True,292.000,216.000,0.000,498.000,176.000,502,210,0.824000,0.160000,-0.543529,64.648,95.590,172.461,4723.0
roygel_intento_1_ROI_640x480.mp4,58,1933.333,True,293.000,216.000,0.000,498.000,176.000,521,200,0.820000,0.160000,-0.549545,64.541,96.321,171.348,4788.5
roygel_intento_1_ROI_640x480.mp4,59,1966.667,True,293.000,216.000,0.000,496.000,175.000,484,188,0.812000,0.164000,-0.560143,56.398,89.065,177.408,3790.5
roygel_intento_1_ROI_640x480.mp4,60,2000.000,True,293.000,216.000,0.000,484.000,173.000,484,178,0.764000,0.172000,-0.621868,72.702,95.579,172.238,5079.0
roygel_intento_1_ROI_640x480.mp4,61,2033.333,True,293.000,216.000,0.000,473.000,172.000,462,205,0.720000,0.176000,-0.671285,73.634,94.225,170.149,5193.5
roygel_intento_1_ROI_640x480.mp4,62,2066.667,True,294.000,216.000,0.000,465.000,172.000,462,200,0.684000,0.176000,-0.707932,72.905,95.394,168.600,5199.5
roygel_intento_1_ROI_640x480.mp4,63,2100.000,True,294.000,216.000,0.000,466.000,173.000,466,206,0.688000,0.172000,-0.705033,74.256,95.210,171.799,5193.0
roygel_intento_1_ROI_640x480.mp4,64,2133.333,True,294.000,216.000,0.000,466.000,173.000,461,196,0.688000,0.172000,-0.705033,73.599,97.067,168.409,5351.5
roygel_intento_1_ROI_640x480.mp4,65,2166.667,True,294.000,216.000,0.000,466.000,173.000,473,189,0.688000,0.172000,-0.705033,74.145,96.762,170.136,5288.0
roygel_intento_1_ROI_640x480.mp4,66,2200.000,True,295.000,216.000,0.000,467.000,172.000,476,183,0.688000,0.176000,-0.704045,75.572,97.971,170.150,5470.0
roygel_intento_1_ROI_640x480.mp4,67,2233.333,True,295.000,216.000,0.000,469.000,172.000,482,186,0.696000,0.176000,-0.696138,75.092,99.314,168.576,5533.5
roygel_intento_1_ROI_640x480.mp4,68,2266.667,True,295.000,216.000,0.000,470.000,172.000,482,189,0.700000,0.176000,-0.692116,74.800,99.519,167.091,5600.5
roygel_intento_1_ROI_640x480.mp4,69,2300.000,True,295.000,216.000,0.000,471.000,172.000,481,187,0.704000,0.176000,-0.688047,74.090,101.164,167.191,5609.0
roygel_intento_1_ROI_640x480.mp4,70,2333.333,True,295.000,215.000,0.000,472.000,172.000,482,200,0.708000,0.172000,-0.684947,76.009,99.409,170.203,5687.5
roygel_intento_1_ROI_640x480.mp4,71,2366.667,True,296.000,215.000,0.000,476.000,171.000,494,196,0.720000,0.176000,-0.671285,63.307,97.856,162.600,4517.0
roygel_intento_1_ROI_640x480.mp4,72,2400.000,True,296.000,215.000,0.000,489.000,165.000,517,134,0.772000,0.200000,-0.603337,49.379,98.641,159.764,3368.0
roygel_intento_1_ROI_640x480.mp4,73,2433.333,True,296.000,215.000,0.000,505.000,160.000,544,157,0.836000,0.220000,-0.502697,54.609,96.116,159.734,3620.0
roygel_intento_1_ROI_640x480.mp4,74,2466.667,True,296.000,215.000,0.000,518.000,156.000,529,194,0.888000,0.236000,-0.394664,54.583,99.723,164.393,3989.5
roygel_intento_1_ROI_640x480.mp4,75,2500.000,True,296.000,215.000,0.000,521.000,157.000,523,122,0.900000,0.232000,-0.369020,54.374,99.803,166.210,4015.5
