,offset_aplicado_ms,duracion_analizada_seg,conteo_fijaciones,conteo_sacadicos,conteo_parpadeos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,duracion_media_parpadeo_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,total_archivos_procesados
Sanchez_intento_10_data,500.0,17.5,10.0,12.0,0.0,0.5714285714285714,0.6857142857142857,1499.9999,88.88883333333335,0.0,14.450712435785862,4.417447042399056,88.64739279956774,
Sanchez_intento_1_data,500.0,17.5,9.0,9.0,0.0,0.5142857142857142,0.5142857142857142,1729.629777777778,100.0000000000001,0.0,9.09960124858331,3.186282261311422,109.91184683644445,
Sanchez_intento_2_data,500.0,17.466667,12.0,12.0,1.0,0.687022887652235,0.687022887652235,1219.4443333333336,94.4445,66.66699999999992,6.988320004048449,4.19464582995952,85.2047444158644,
Sanchez_intento_3_data,500.0,17.466667,10.0,9.0,0.0,0.5725190730435291,0.5152671657391762,1523.3333,92.59244444444438,0.0,10.160213466145327,5.034705072484591,110.2197157693114,
Sanchez_intento_4_data,500.0,17.466667,10.0,10.0,1.0,0.5725190730435291,0.5725190730435291,1529.9998,93.33340000000003,66.66599999999926,9.561374180484377,3.5055632365696896,102.55339641411354,
Sanchez_intento_5_data,500.0,17.466667,10.0,10.0,0.0,0.5725190730435291,0.5725190730435291,1553.3332000000005,96.66669999999995,0.0,8.93043651816734,3.43515523207671,94.61679470778427,
Sanchez_intento_6_data,500.0,17.466667,9.0,11.0,1.0,0.5152671657391762,0.629770980347882,1681.4815555555556,87.87881818181822,66.66700000000037,8.838337058498366,3.964509414031787,97.91009408235176,
Sanchez_intento_7_data,500.0,17.5,11.0,10.0,0.0,0.6285714285714286,0.5714285714285714,1427.2727272727273,93.33330000000001,0.0,9.236527982732516,3.316381599841663,96.84158636743447,
Sanchez_intento_8_data,500.0,17.466667,10.0,10.0,1.0,0.5725190730435291,0.5725190730435291,1506.6668,106.66669999999985,66.66699999999946,8.700277495769402,4.314180409223946,83.46657828605966,
Sanchez_intento_9_data,500.0,17.5,11.0,12.0,2.0,0.6285714285714286,0.6857142857142857,1348.4847272727275,88.88899999999997,83.33350000000064,6.959865014727811,4.197547272527732,86.46821068215418,
PROMEDIO_GENERAL,500.0,17.4800002,10.2,10.5,0.6,0.5835223488422671,0.6006761110012737,1501.9646121212122,94.2693695959596,35.000049999999966,9.292566540494276,3.956641737042612,95.58403603610859,10.0
