,offset_aplicado_ms,duracion_analizada_seg,conteo_fijaciones,conteo_sacadicos,conteo_parpadeos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,duracion_media_parpadeo_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,velocidad_promedio_general_deg_s,aceleracion_promedio_general_deg_s2,total_archivos_procesados
Victor3_intento_2_data,500.0,18.0,9.0,10.0,0.0,0.5,0.5555555555555556,1774.0741111111113,93.3333999999999,0.0,8.893412034737,2.985165802041567,95.92669641558871,9.815448196948438,0.12227963147258393,
Victor3_intento_3_data,500.0,18.0,9.0,10.0,0.0,0.5,0.5555555555555556,1788.8887777777777,86.66650000000008,0.0,7.939788082151213,2.8822604733494,95.17265296061089,9.515523690855199,-1.091302269978162,
Victor3_intento_5_data,500.0,18.0,9.0,8.0,0.0,0.5,0.4444444444444444,1833.3334444444445,91.66674999999992,0.0,9.960369479804598,3.134047240024348,110.64789857061935,9.549663635033998,-0.7806080840867062,
Victor3_intento_4_data,500.0,18.033333,9.0,11.0,0.0,0.499075794807316,0.6099815269867196,1759.2592222222224,78.78763636363625,0.0,6.501931193524829,2.9957089888098567,99.66244100513258,10.397459991992108,0.17932882902627018,
Victor3_intento_1_data,500.0,18.033333,9.0,8.0,0.0,0.499075794807316,0.4436229287176142,1848.1478888888887,95.83337499999993,0.0,10.227379250102281,2.8132362859869366,113.48929941220086,9.458532582734216,0.07951070659656476,
PROMEDIO_GENERAL,500.0,18.013333199999998,9.0,9.4,0.0,0.49963031792292634,0.5218320022519779,1800.740688888889,89.25753227272722,0.0,8.704576008063984,2.962083758042422,102.97979767283047,9.747325619512791,-0.2981582373938899,5.0
