Amplitud_A,Velocidad_Pico_Real,Velocidad_Predicha_Modelo,Residuo
4.731358676434641,157.0925782720467,168.83484159627506,-11.742263324228361
4.953677402295515,162.69541030288082,175.59558261373502,-12.900172310854202
4.94534020033649,150.77181716269678,175.34375456577175,-24.57193740307497
4.880972608359336,144.96270484090303,173.3950447313548,-28.43233989045177
5.660688927251082,190.35190114682757,196.4764270492259,-6.124525902398318
6.315557273970817,202.90137183771148,215.0039201023432,-12.102548264631707
9.289432713438524,297.00384388444525,290.146808621512,6.857035262933266
8.680064303194396,285.5864730561942,275.8760074444276,9.710465611766608
11.623389180259634,378.2607222574591,340.00213643608726,38.25858582137187
9.211082310312763,290.40101526110897,288.3425035917885,2.058511669320467
5.186794695683667,175.02178493901562,182.58361570315878,-7.561830764143167
8.04570324339679,244.61005066909462,260.4255035388291,-15.815452869734486
11.110236659697595,331.91573215805954,329.661377708235,2.2543544498245183
12.680574238749758,369.41477275695115,360.279402763277,9.135369993674146
14.5724402079467,380.35378512407215,393.35689162134133,-13.003106497269187
10.945181745577992,313.9478183297265,326.26350684747337,-12.315688517746878
16.89484059437975,461.61870294088186,428.91893169984615,32.699771241035705
8.326844370046846,241.7723595225559,267.34931632745355,-25.576956804897662
6.600723021256247,202.29409157557535,222.83567821168813,-20.541586636112783
7.313279564623184,237.31640189548395,241.80038126633593,-4.4839793708519835
10.51183817986942,308.2977873325927,317.1723606963966,-8.874573363803904
7.646319134207134,265.0483690582614,250.37613609518897,14.672232963072446
7.905350055745607,274.0099636712888,256.92272895606396,17.087234715224838
10.632962060386761,348.2552636467557,319.7384992445373,28.51676440221837
13.194051834569766,375.17175254574346,369.650811863855,5.520940681888476
10.915099825603699,314.27419926534213,325.64041097798173,-11.366211712639597
7.708348431008685,221.837401991781,251.9535816369916,-30.116179645210593
7.301145050117206,222.15451116699685,241.4845036655204,-19.329992498523552
15.871689876935836,377.74167211533836,413.8916524534658,-36.14998033812742
8.539732507896002,269.44165786738375,272.51114050572954,-3.0694826383457894
7.691083287291978,260.90143787580564,251.51513744560825,9.386300430197394
7.853508012140654,269.1708762735852,255.62105171139473,13.549824562190452
15.187604711613337,420.0467555389727,403.2895155989154,16.75723994005733
20.76282624589398,489.6889793565981,477.7203613190973,11.96861803750079
23.447261214136958,537.5316078454939,505.23054781173937,32.30106003375454
9.064197934770874,270.2377943962185,284.93583020128307,-14.698035805064592
7.828902307410098,226.02131651321483,255.0017475906584,-28.98043107744357
5.74679407797474,167.56698438249506,198.95642801488154,-31.389443632386474
6.999479910585559,246.0315962077302,233.55353497926643,12.478061228463758
8.246066643267653,293.61651761236953,265.37251535376635,28.24400225860319
9.535184038141653,331.83657303209765,295.7486298818465,36.087943150251135
9.512016805866336,331.9906809271727,295.22423980019533,36.766441126977384
