,offset_aplicado_ms,duracion_analizada_seg,conteo_fijaciones,conteo_sacadicos,conteo_parpadeos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,duracion_media_parpadeo_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,total_archivos_procesados
Venegas_intento_4_data,500.0,17.966667,17.0,43.0,0.0,0.946196642927706,2.3933209203465506,456.86270588235334,84.4960930232558,0.0,6.530766820090687,6.885732533954088,61.00612781288678,
Venegas_intento_8_data,500.0,17.966667,14.0,26.0,1.0,0.7792207647639932,1.4471242774188444,823.8095714285715,88.46157692307696,66.66699999999946,8.730137272248372,7.441134430006298,67.65529284049461,
Venegas_intento_6_data,500.0,17.966667,13.0,46.0,0.0,0.7235621387094222,2.5602967985102634,415.38461538461553,84.78258695652167,0.0,10.372044980593309,7.743328704000618,64.74259969289504,
Venegas_intento_2_data,500.0,17.966667,15.0,16.0,0.0,0.8348793908185641,0.890538016873135,873.3332666666665,81.24993750000021,0.0,9.832206674210777,6.663687763859143,61.94128940362819,
Venegas_intento_5_data,500.0,18.0,12.0,35.0,2.0,0.6666666666666666,1.9444444444444444,669.4444166666668,86.66662857142869,116.66649999999936,4.746000013185405,8.40356668949718,63.66247098308564,
Venegas_intento_10_data,500.0,17.933332999999998,13.0,28.0,1.0,0.7249070766711354,1.5613383189839838,758.9743846153847,80.95242857142854,100.0,4.549780269537995,7.1668894923720305,62.28227737360864,
Venegas_intento_7_data,500.0,17.933332999999998,12.0,30.0,1.0,0.6691449938502788,1.672862484625697,841.6664999999997,87.77779999999987,133.33299999999963,7.985072651467661,8.384794761603496,83.56925296269881,
Venegas_intento_1_data,500.0,18.0,13.0,22.0,0.0,0.7222222222222222,1.2222222222222223,997.4359230769231,80.30299999999984,0.0,3.94507166521383,5.34414758418929,59.79818152658918,
Venegas_intento_9_data,500.0,17.966667,13.0,16.0,0.0,0.7235621387094222,0.890538016873135,1064.102769230769,81.25012500000014,0.0,3.3728992453778375,7.481405248554413,48.64952504077688,
Venegas_intento_3_data,500.0,17.933332999999998,12.0,42.0,0.0,0.6691449938502788,2.342007478475976,530.5555,83.33323809523816,0.0,7.026618029329269,8.686226852581624,67.59403582866265,
PROMEDIO_GENERAL,500.0,17.963333400000003,13.4,30.4,0.5,0.7459507029189689,1.6924692978774254,743.156965295195,83.927341464095,41.66664999999985,6.709059762125515,7.420091406061819,64.09010534653264,10.0
