timestamp_unix,relative_time_s,stimulus_x,stimulus_y,frame_idx
1765202171.7478,0.0000,320,180,0
1765202171.7826,0.0348,320,180,1
1765202171.8146,0.0667,320,180,2
1765202171.8471,0.0992,320,180,3
1765202171.8821,0.1343,320,180,4
1765202171.9149,0.1671,320,180,5
1765202171.9492,0.2014,320,180,6
1765202171.9827,0.2349,320,180,7
1765202172.0154,0.2676,320,180,8
1765202172.0488,0.3010,320,180,9
1765202172.0831,0.3352,320,180,10
1765202172.1148,0.3670,320,180,11
1765202172.1489,0.4010,320,180,12
1765202172.1836,0.4358,320,180,13
1765202172.2153,0.4675,320,180,14
1765202172.2486,0.5008,320,180,15
1765202172.2829,0.5350,320,180,16
1765202172.3147,0.5669,320,180,17
1765202172.3473,0.5995,320,180,18
1765202172.3833,0.6355,320,180,19
1765202172.4156,0.6678,320,180,20
1765202172.4488,0.7009,320,180,21
1765202172.4834,0.7356,320,180,22
1765202172.5146,0.7668,320,180,23
1765202172.5496,0.8017,320,180,24
1765202172.5836,0.8358,320,180,25
1765202172.6156,0.8677,320,180,26
1765202172.6485,0.9007,320,180,27
1765202172.6835,0.9356,320,180,28
1765202172.7149,0.9671,320,180,29
1765202172.7475,0.9997,320,180,30
1765202172.7828,1.0350,320,180,31
1765202172.8156,1.0678,320,180,32
1765202172.8488,1.1010,320,180,33
1765202172.8832,1.1353,320,180,34
1765202172.9145,1.1667,320,180,35
1765202172.9475,1.1997,320,180,36
1765202172.9832,1.2354,320,180,37
1765202173.0155,1.2677,320,180,38
1765202173.0488,1.3010,320,180,39
1765202173.0834,1.3356,320,180,40
1765202173.1149,1.3670,320,180,41
1765202173.1494,1.4016,320,180,42
1765202173.1825,1.4347,320,180,43
1765202173.2147,1.4669,320,180,44
1765202173.2480,1.5002,320,180,45
1765202173.2828,1.5349,320,180,46
1765202173.3151,1.5673,320,180,47
1765202173.3478,1.5999,320,180,48
1765202173.3831,1.6353,320,180,49
1765202173.4150,1.6672,320,180,50
1765202173.4492,1.7013,320,180,51
1765202173.4835,1.7357,320,180,52
1765202173.5149,1.7671,320,180,53
1765202173.5472,1.7994,320,180,54
1765202173.5836,1.8358,320,180,55
1765202173.6152,1.8674,320,180,56
1765202173.6495,1.9017,320,180,57
1765202173.6829,1.9351,320,180,58
1765202173.7149,1.9670,320,180,59
1765202173.7497,2.0019,960,180,60
1765202173.7829,2.0351,960,180,61
1765202173.8146,2.0668,960,180,62
1765202173.8486,2.1008,960,180,63
1765202173.8828,2.1350,960,180,64
1765202173.9145,2.1667,960,180,65
1765202173.9492,2.2014,960,180,66
1765202173.9828,2.2349,960,180,67
1765202174.0154,2.2676,960,180,68
1765202174.0489,2.3011,960,180,69
1765202174.0831,2.3353,960,180,70
1765202174.1148,2.3670,960,180,71
1765202174.1491,2.4013,960,180,72
1765202174.1836,2.4358,960,180,73
1765202174.2149,2.4671,960,180,74
1765202174.2484,2.5006,960,180,75
1765202174.2832,2.5354,960,180,76
1765202174.3153,2.5675,960,180,77
1765202174.3492,2.6013,960,180,78
1765202174.3836,2.6358,960,180,79
1765202174.4157,2.6679,960,180,80
1765202174.4472,2.6993,960,180,81
1765202174.4826,2.7347,960,180,82
1765202174.5149,2.7671,960,180,83
1765202174.5469,2.7991,960,180,84
1765202174.5833,2.8355,960,180,85
1765202174.6145,2.8666,960,180,86
1765202174.6485,2.9007,960,180,87
1765202174.6836,2.9357,960,180,88
1765202174.7147,2.9669,960,180,89
1765202174.7478,3.0000,960,180,90
1765202174.7825,3.0346,960,180,91
1765202174.8152,3.0674,960,180,92
1765202174.8487,3.1008,960,180,93
1765202174.8828,3.1350,960,180,94
1765202174.9154,3.1676,960,180,95
1765202174.9494,3.2015,960,180,96
