,archivo,duracion_total_seg,conteo_fijaciones,conteo_sacadicos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,total_archivos_procesados
0,Chirinos_intento_3_ROI_640x480_data,16.266666999999998,10.0,9.0,0.614754085763236,0.5532786771869124,1410.0,103.70366666666672,10.09657104616143,5.102724671894969,100.25587862948024,
1,Chirinos_intento_1_ROI_640x480_data,15.866667,11.0,13.0,0.6932772963597207,0.8193277138796698,1133.3334545454543,105.12823076923063,8.513850491206535,5.785203401949818,78.54915438645251,
2,Chirinos_intento_5_ROI_640x480_data,16.4,13.0,12.0,0.7926829268292683,0.7317073170731708,1064.102692307692,102.77775000000004,8.71523424387775,5.5449457113340745,89.14499805643216,
3,Chirinos_intento_2_ROI_640x480_data,16.233333000000002,10.0,10.0,0.6160164397539309,0.6160164397539309,1396.6666,113.33339999999994,8.617077797989497,6.048002289330725,95.42052307894866,
4,Chirinos_intento_4_ROI_640x480_data,16.233333000000002,12.0,9.0,0.7392197277047171,0.5544147957785378,1186.1111666666663,100.00011111111098,8.333846706529652,5.3874064065945495,82.39147484976715,
PROMEDIO_GENERAL,,16.2,11.2,10.6,0.6911900952821746,0.6549489887344443,1238.0427827039625,104.98863170940167,8.855316057152972,5.573656496220828,89.15240580021614,5.0
