archivo,num_parpadeos,tasa_parpadeo_hz,latencia_promedio_ms,main_seq_pendiente_k,duracion_total_s,distancia_total_deg,velocidad_promedio_global,parpadeo_duracion_media_ms,num_fijaciones,fijacion_duracion_media_ms,fijacion_duracion_std,ratio_tiempo_fijacion,latencia_std_ms,num_sacadas,tasa_sacadas_hz,sacada_vel_pico_media,sacada_vel_pico_max,sacada_acel_pico_media,sacada_amplitud_media,sacada_duracion_media,main_seq_intercepto
Victor_experimento_1_intento_10_data.csv,0,0.0,278.70377777777753,11.330994806040458,18.375,546.7346929674047,29.760704950305247,0,9,1883.3333333333333,99.61356506910974,0.9224489795918367,181.26407121028782,17,0.9251700680272109,139.51628358392483,372.6849306685789,1767.1698890491166,11.653800918898048,78.4313529411764,7.467125901261539
Victor_experimento_1_intento_1_data.csv,0,0.0,320.37044444444416,11.562417095230488,18.416667,528.6007180949233,28.695497074794584,0,9,1942.592555555556,68.65590630594919,0.9493212316864936,201.80934635723816,20,1.0859728310231163,130.0550944479553,402.2871588789607,1700.0285218901747,10.773090315358015,80.4167499999999,5.492130817197776
Victor_experimento_1_intento_2_data.csv,0,0.0,243.51855555555574,11.396987419048418,18.366667,532.0511944294576,28.967189797752326,0,9,1934.259222222222,90.39049791110459,0.9478221062101251,165.5416236164802,16,0.8711433598703565,140.58156160462278,380.70936607205,1820.1818694721962,11.865233804960926,83.33331249999978,5.3536412054151015
Victor_experimento_1_intento_3_data.csv,0,0.0,250.9258888888888,11.625099623199143,18.366667,612.6746898574941,33.35097514948773,0,9,1920.3704444444443,44.11515437053129,0.9410163531575978,167.19557045331615,24,1.3067150398055347,106.54505165006985,380.33242104738997,1324.9716348406148,8.917698538562094,85.763875,2.8759177296280996
Victor_experimento_1_intento_4_data.csv,0,0.0,248.14811111111092,11.449186335012229,18.366667,609.61327531446,33.182718650304786,0,9,1937.0370000000003,30.202967952025727,0.9491832677099227,165.7277818233825,21,1.1433756598298428,130.1281377692359,385.8635517083564,1583.1034240621693,10.777417455109438,82.14300000000023,6.735477115474666
Victor_experimento_1_intento_5_data.csv,0,0.0,196.2962222222217,12.020320824830927,18.366667,553.8326725905378,30.148994404123435,0,9,1935.1853333333338,153.74842678291802,0.9482759174541578,190.72284184286124,22,1.19782211982174,90.52338698151023,232.38168466042904,1191.0667373108677,7.226392726959839,78.0303181818179,3.6598279972281347
Victor_experimento_1_intento_6_data.csv,0,0.0,213.88900000000012,11.759725338500067,18.366667,516.4070618414954,28.105342984154284,0,9,1921.296222222222,126.38800460994638,0.9414700010622502,125.95314629566718,23,1.2522685798136375,112.73993338647456,378.1341940103727,1416.3469410661744,9.164153490115325,77.53621739130442,4.972005382861553
Victor_experimento_1_intento_7_data.csv,0,0.0,244.4444444444444,11.331304486619395,18.358333,570.520827935537,31.052632598253886,0,9,1937.9628888888885,62.99023973502999,0.9500680699059114,182.32048333093184,27,1.4707217697816029,102.47919332533606,373.18459492274064,1248.8107849856385,8.460898589971432,79.32103703703689,6.6061751719610555
Victor_experimento_1_intento_8_data.csv,0,0.0,279.6297777777782,12.086448001113087,18.375,581.8322367561562,31.656863678093274,0,9,1859.2589999999993,175.30606373108955,0.9106574693877549,183.33808168201074,26,1.4149659863945578,101.51105863523195,259.99971633806905,1238.5883503519422,8.167975072830986,80.12811538461534,2.789252643072359
Victor_experimento_1_intento_9_data.csv,0,0.0,155.55555555555557,11.589420142956717,18.366667,573.7267789893631,31.204281148035157,0,11,1573.4848181818188,653.9490096746935,0.9423774602109356,164.8979332652045,25,1.361161499797432,117.89960408750103,374.5510754857739,1522.1282702857081,9.718191404607538,83.66671999999991,5.271400869833599
